time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,27.8,31.8,26.0,31.1,14.6,27.7,27303.1,47966.94,Ahmedabad
2023-07-24,27.8,31.3,26.0,9.8,22.0,40.3,17325.9,47917.54,Ahmedabad
2023-07-25,27.8,31.6,25.4,13.0,16.0,33.1,28011.58,47866.91,Ahmedabad
2023-07-26,28.2,32.0,25.4,3.7,14.0,24.1,32379.39,47815.12,Ahmedabad
2023-07-27,28.6,32.9,25.8,9.2,15.4,32.0,30316.29,47762.23,Ahmedabad
2023-07-28,28.0,31.8,25.8,4.4,18.7,35.6,31297.06,47708.29,Ahmedabad
2023-07-29,27.7,31.7,25.2,6.1,21.3,42.5,35146.72,47653.38,Ahmedabad
2023-07-30,27.7,31.4,25.0,2.3,19.8,41.0,19913.51,47597.53,Ahmedabad
2023-07-31,27.2,31.3,25.1,7.7,17.4,36.0,31801.09,47540.83,Ahmedabad
2023-08-01,27.8,31.5,25.4,4.2,19.2,38.2,24817.32,47483.32,Ahmedabad
2023-08-02,28.5,32.8,25.2,1.6,23.3,42.1,40806.15,47425.05,Ahmedabad
2023-08-03,28.1,31.1,26.0,1.7,22.5,41.4,14782.09,47366.09,Ahmedabad
2023-08-04,28.1,31.6,25.1,1.5,18.2,34.6,20980.75,47306.49,Ahmedabad
2023-08-05,28.9,32.3,25.8,1.9,18.3,34.2,39548.54,47246.3,Ahmedabad
2023-08-06,28.8,32.5,25.4,0.6,22.6,41.4,38758.16,47185.55,Ahmedabad
2023-08-07,28.5,32.0,25.4,0.3,26.7,48.2,32272.53,47123.8,Ahmedabad
2023-08-08,28.7,32.0,25.9,0.4,24.5,43.9,41957.0,47060.91,Ahmedabad
2023-08-09,28.4,31.9,25.2,0.6,21.4,38.2,37212.27,46996.97,Ahmedabad
2023-08-10,27.9,32.0,25.2,2.6,17.3,35.3,24057.84,46932.03,Ahmedabad
2023-08-11,28.0,31.9,24.7,2.0,14.7,28.8,40279.65,46866.16,Ahmedabad
2023-08-12,27.9,31.7,25.1,2.5,17.6,35.6,37149.9,46799.42,Ahmedabad
2023-08-13,28.6,32.2,25.1,0.6,22.6,40.3,39039.68,46731.89,Ahmedabad
2023-08-14,28.7,32.5,25.6,0.5,18.9,34.6,31192.29,46663.61,Ahmedabad
2023-08-15,28.9,32.3,25.5,0.3,16.6,31.7,39490.45,46594.64,Ahmedabad
2023-08-16,28.8,33.1,25.7,1.2,14.6,29.2,41482.9,46525.07,Ahmedabad
2023-08-17,28.4,32.3,25.1,0.9,18.1,33.5,39464.77,46454.93,Ahmedabad
2023-08-18,28.5,32.8,24.8,0.0,15.5,30.2,40296.3,46384.29,Ahmedabad
2023-08-19,28.6,33.3,24.8,0.0,16.6,31.3,37287.88,46313.21,Ahmedabad
2023-08-20,28.1,31.5,25.7,0.6,19.2,34.6,29197.89,46241.73,Ahmedabad
2023-08-21,27.7,30.6,25.0,0.2,14.8,27.0,15433.46,46169.93,Ahmedabad
2023-08-22,28.7,32.8,25.5,0.3,18.0,32.4,34565.27,46097.85,Ahmedabad
2023-08-23,28.9,32.8,26.1,0.2,20.9,37.1,32046.98,46025.54,Ahmedabad
2023-08-24,29.3,33.6,25.9,0.3,23.3,42.8,32606.26,45953.07,Ahmedabad
2023-08-25,29.3,34.2,25.2,0.8,18.7,35.3,37398.96,45880.47,Ahmedabad
2023-08-26,28.7,33.6,25.3,0.4,16.3,32.4,40714.0,45807.79,Ahmedabad
2023-08-27,28.9,34.0,24.8,0.3,18.8,35.6,41892.54,45734.53,Ahmedabad
2023-08-28,29.0,34.7,24.7,0.2,19.4,36.0,41460.77,45660.56,Ahmedabad
2023-08-29,29.1,34.2,24.5,0.3,15.6,30.6,41174.25,45585.95,Ahmedabad
2023-08-30,29.3,34.0,25.6,0.0,12.6,24.5,41599.21,45510.74,Ahmedabad
2023-08-31,29.5,33.7,25.2,0.3,11.1,22.0,42021.39,45434.99,Ahmedabad
2023-09-01,30.0,34.8,25.2,0.0,10.7,22.0,42017.9,45358.76,Ahmedabad
2023-09-02,30.3,34.8,26.4,0.0,12.0,25.6,42154.98,45282.11,Ahmedabad
2023-09-03,30.3,34.3,26.7,0.5,13.0,25.6,41870.91,45205.07,Ahmedabad
2023-09-04,29.9,34.5,26.4,0.0,12.2,24.8,41449.01,45127.71,Ahmedabad
2023-09-05,30.4,35.7,26.1,0.0,15.1,30.2,41865.09,45050.07,Ahmedabad
2023-09-06,31.1,36.6,26.8,1.8,21.0,46.1,41723.47,44972.22,Ahmedabad
2023-09-07,30.2,36.0,25.7,5.6,18.3,39.6,36197.49,44894.2,Ahmedabad
2023-09-08,29.4,36.3,25.7,0.5,15.0,33.1,32647.66,44816.05,Ahmedabad
2023-09-09,29.8,36.5,26.5,0.5,19.1,34.9,22391.48,44737.84,Ahmedabad
2023-09-10,29.8,35.2,25.9,0.0,19.4,37.4,38098.42,44659.6,Ahmedabad
2023-09-11,30.0,35.6,26.0,0.2,18.9,36.7,39347.75,44581.39,Ahmedabad
2023-09-12,29.3,34.9,25.6,0.2,18.6,33.5,41261.95,44503.26,Ahmedabad
2023-09-13,29.9,33.9,26.5,0.0,15.9,29.5,40658.31,44425.25,Ahmedabad
2023-09-14,30.2,34.2,26.9,0.3,14.2,26.3,38766.55,44347.41,Ahmedabad
2023-09-15,29.2,32.4,26.7,1.8,18.4,35.6,34799.0,44269.76,Ahmedabad
2023-09-16,28.6,33.0,25.7,12.7,24.1,45.0,15402.54,44191.82,Ahmedabad
2023-09-17,25.9,27.9,24.7,60.9,28.5,49.0,1265.67,44113.43,Ahmedabad
2023-09-18,25.5,26.4,24.5,38.6,25.9,45.4,0.0,44034.66,Ahmedabad
2023-09-19,26.4,29.0,24.5,31.4,23.2,40.7,27798.26,43955.56,Ahmedabad
2023-09-20,27.2,30.3,25.1,11.2,15.2,36.0,29905.83,43876.17,Ahmedabad
2023-09-21,28.4,32.4,25.5,0.5,14.2,25.6,39546.04,43796.54,Ahmedabad
