time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,22.8,28.7,19.2,12.4,6.5,19.8,38138.38,48118.41
2023-07-24,22.4,28.0,18.8,14.1,9.7,28.8,39014.79,48067.29
2023-07-25,22.3,29.3,19.1,26.5,6.5,25.9,29606.6,48014.9
2023-07-26,22.6,28.5,19.6,43.5,11.5,34.6,40169.22,47961.3
2023-07-27,22.1,27.4,18.3,5.8,12.5,38.2,42156.8,47906.57
2023-07-28,22.0,27.1,18.6,4.3,14.1,38.5,42678.48,47850.75
2023-07-29,23.5,28.5,18.2,0.7,8.2,25.2,40886.26,47793.92
2023-07-30,23.0,30.3,18.8,15.2,7.4,23.0,35534.73,47736.14
2023-07-31,23.7,29.7,19.9,23.6,6.8,23.8,39688.05,47677.46
2023-08-01,23.7,30.2,19.8,5.8,9.0,35.3,39600.0,47617.95
2023-08-02,21.8,25.8,19.4,29.2,11.5,32.4,22247.54,47557.66
2023-08-03,21.6,26.1,18.7,2.7,12.9,40.0,24760.95,47496.65
2023-08-04,20.8,23.8,18.2,17.9,14.6,41.4,15233.38,47434.98
2023-08-05,21.4,25.0,19.1,4.2,14.9,45.7,36564.55,47372.7
2023-08-06,20.5,22.8,19.2,11.7,12.9,40.3,5698.27,47309.85
2023-08-07,20.5,23.8,18.9,36.9,11.3,33.1,6190.72,47245.96
2023-08-08,20.7,23.6,18.9,3.2,12.2,35.3,9836.47,47180.9
2023-08-09,21.3,25.7,18.5,4.2,9.4,28.1,30277.29,47114.75
2023-08-10,21.6,25.7,18.4,5.0,8.9,24.8,32400.0,47047.55
2023-08-11,21.5,25.5,18.4,2.6,8.3,25.2,28860.75,46979.41
2023-08-12,21.7,24.9,18.4,1.8,13.6,36.4,27157.52,46910.37
2023-08-13,21.9,27.0,18.8,9.8,6.9,22.3,31194.23,46840.5
2023-08-14,21.9,26.5,18.7,1.6,7.7,24.1,38258.9,46769.86
