time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,29.4,33.7,26.0,4.4,12.5,27.4,40549.91,49964.61
2023-07-24,29.3,32.5,26.9,6.4,8.7,23.4,38134.0,49892.22
2023-07-25,29.8,33.1,26.8,0.7,10.5,20.9,25584.99,49818.06
2023-07-26,27.9,32.1,25.6,20.1,11.0,22.0,23726.55,49742.22
2023-07-27,27.9,31.6,25.0,9.4,10.2,20.5,30010.3,49664.79
2023-07-28,27.7,31.9,25.2,18.7,12.9,25.6,34843.5,49585.86
2023-07-29,27.6,32.4,24.2,17.5,8.9,19.4,26135.05,49505.52
2023-07-30,28.7,33.3,24.2,0.0,5.1,14.0,41295.77,49423.85
2023-07-31,29.5,33.2,25.8,0.4,10.2,23.4,41418.56,49340.94
2023-08-01,30.3,34.8,26.5,0.0,10.2,20.9,41544.77,49256.88
2023-08-02,30.4,35.5,27.3,4.3,13.6,24.5,39001.38,49171.75
2023-08-03,29.4,33.5,25.2,1.3,8.9,22.3,41354.48,49085.62
2023-08-04,29.4,34.7,25.9,11.0,11.1,47.2,38341.87,48998.6
2023-08-05,28.8,33.0,25.7,11.1,10.2,25.2,38539.65,48910.74
2023-08-06,28.6,33.2,26.0,9.0,9.2,30.6,39842.65,48822.09
2023-08-07,29.5,33.6,25.2,2.6,7.7,22.3,42042.33,48732.01
2023-08-08,30.0,33.9,26.8,0.7,10.3,28.4,42465.57,48640.3
2023-08-09,29.6,34.2,25.4,7.9,15.5,29.9,41298.02,48547.08
2023-08-10,28.5,33.1,25.4,3.1,15.5,33.1,39247.46,48452.43
2023-08-11,28.9,33.4,24.8,2.2,11.7,26.6,36573.27,48356.46
2023-08-12,30.1,34.6,26.7,1.2,9.3,23.8,41418.33,48259.25
2023-08-13,30.0,34.8,25.9,0.5,17.3,31.3,41658.78,48160.9
2023-08-14,28.3,33.0,25.0,14.9,18.6,43.9,39844.46,48061.5
2023-08-15,28.2,33.1,24.3,17.7,13.3,25.9,30340.87,47961.14
2023-08-16,29.4,33.6,25.7,0.0,7.2,16.2,42381.27,47859.91
2023-08-17,29.6,34.2,26.6,0.2,11.0,21.6,40362.57,47757.88
2023-08-18,30.0,34.6,26.5,1.1,11.3,27.4,42041.82,47655.16
2023-08-19,29.8,33.5,26.6,3.0,7.1,28.4,42042.7,47551.82
2023-08-20,30.2,34.0,27.0,0.0,6.6,16.9,33927.63,47447.95
2023-08-21,30.8,35.0,27.7,0.7,10.5,23.4,41872.86,47343.61
2023-08-22,31.4,36.8,26.5,0.0,13.4,23.4,41182.78,47238.9
2023-08-23,30.0,34.9,26.6,0.1,18.1,31.7,41150.64,47133.88
2023-08-24,28.8,32.4,25.2,0.7,14.0,25.6,40246.0,47028.64
2023-08-25,28.2,33.0,23.1,6.3,23.9,43.2,39250.43,46923.26
2023-08-26,26.8,31.2,23.5,4.4,22.4,36.7,31033.32,46817.76
2023-08-27,28.3,33.3,24.1,0.3,7.2,19.4,40817.97,46711.46
2023-08-28,27.6,32.4,23.0,7.4,12.0,28.1,39503.9,46604.15
2023-08-29,28.4,33.0,24.7,0.8,8.7,30.2,36365.25,46495.91
2023-08-30,29.1,34.6,24.4,0.0,7.8,19.4,43058.05,46386.84
2023-08-31,29.8,35.1,24.6,0.0,6.6,17.6,42419.12,46277.0
2023-09-01,30.8,36.5,26.4,0.0,11.4,21.2,42427.92,46166.48
2023-09-02,30.4,35.6,25.3,0.0,9.7,22.0,42265.82,46055.36
2023-09-03,30.2,34.9,25.8,0.0,8.7,19.8,42582.62,45943.7
2023-09-04,30.2,35.8,25.2,0.0,8.4,15.5,41762.6,45831.6
2023-09-05,29.8,34.9,25.1,0.1,10.4,23.0,41753.89,45719.11
2023-09-06,29.8,35.1,24.7,0.0,9.8,20.9,41745.79,45606.32
2023-09-07,30.4,36.5,24.5,0.0,7.9,19.4,42203.85,45493.29
2023-09-08,30.6,36.4,24.5,0.0,11.0,18.4,41256.14,45380.11
