time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,26.3,30.8,24.0,13.3,11.8,29.5,25149.29,48012.19,Bhopal
2023-07-24,26.2,30.2,23.3,17.1,10.3,24.5,24587.81,47962.27,Bhopal
2023-07-25,26.3,30.1,24.1,10.8,13.2,26.6,29003.92,47911.12,Bhopal
2023-07-26,26.9,30.7,24.2,9.7,11.6,22.7,35483.29,47858.79,Bhopal
2023-07-27,27.1,30.9,24.0,8.4,14.3,28.4,35366.91,47805.35,Bhopal
2023-07-28,26.4,29.5,24.1,7.7,14.4,28.4,24684.16,47750.85,Bhopal
2023-07-29,26.3,29.2,24.4,6.2,19.6,38.2,28549.57,47695.36,Bhopal
2023-07-30,26.3,30.2,24.1,4.0,21.0,41.0,37575.97,47638.95,Bhopal
2023-07-31,26.8,30.1,24.0,2.5,18.5,37.8,27604.06,47581.65,Bhopal
2023-08-01,26.7,30.0,24.5,1.8,22.1,50.4,38485.54,47523.54,Bhopal
2023-08-02,26.2,29.7,24.5,3.0,27.0,50.0,25058.05,47464.66,Bhopal
2023-08-03,23.9,24.6,23.2,40.5,23.3,43.2,0.0,47405.09,Bhopal
2023-08-04,24.4,25.9,23.1,13.1,22.0,38.9,0.0,47344.88,Bhopal
2023-08-05,25.4,27.8,23.6,6.3,18.4,36.0,1496.14,47284.07,Bhopal
2023-08-06,25.8,28.5,23.5,9.3,18.5,41.0,19350.1,47222.69,Bhopal
2023-08-07,26.2,29.2,23.8,0.0,23.8,46.4,38916.55,47160.29,Bhopal
2023-08-08,26.2,29.8,23.7,0.3,23.1,45.0,40097.78,47096.77,Bhopal
2023-08-09,26.1,29.8,23.2,0.7,20.9,41.0,35178.39,47032.16,Bhopal
2023-08-10,26.1,29.8,22.8,1.6,16.7,32.8,39781.3,46966.55,Bhopal
2023-08-11,25.9,28.8,22.8,0.8,16.9,33.1,42257.96,46900.0,Bhopal
2023-08-12,25.9,29.4,23.3,1.8,18.4,37.8,43200.0,46832.57,Bhopal
2023-08-13,25.5,29.3,23.1,1.7,16.7,37.8,35828.64,46764.34,Bhopal
2023-08-14,25.4,29.2,22.7,0.5,14.2,32.4,32257.89,46695.35,Bhopal
2023-08-15,25.6,29.5,22.7,3.5,13.6,27.0,39923.77,46625.68,Bhopal
2023-08-16,26.2,29.9,23.1,1.0,16.3,32.4,42090.7,46555.39,Bhopal
2023-08-17,26.4,30.1,23.7,4.1,18.5,36.7,34572.04,46484.52,Bhopal
2023-08-18,25.4,29.6,23.2,19.4,18.4,35.6,21358.85,46413.16,Bhopal
2023-08-19,24.6,28.3,22.8,44.4,20.5,38.5,6127.33,46341.34,Bhopal
2023-08-20,25.7,30.3,23.2,18.8,11.9,23.4,24654.91,46269.13,Bhopal
2023-08-21,26.0,29.4,23.9,4.5,13.4,28.1,26136.97,46196.59,Bhopal
2023-08-22,25.9,31.0,22.7,6.5,15.2,29.2,18647.12,46123.77,Bhopal
2023-08-23,25.6,29.5,23.9,3.3,19.5,37.1,29686.14,46050.72,Bhopal
2023-08-24,25.4,28.9,22.9,1.3,22.2,42.8,24163.5,45977.5,Bhopal
2023-08-25,26.3,30.5,22.9,0.3,21.7,42.1,39152.68,45904.16,Bhopal
2023-08-26,25.7,29.7,22.8,1.0,18.4,37.4,39396.41,45830.72,Bhopal
2023-08-27,25.4,29.2,22.3,0.7,20.4,38.2,42649.67,45756.72,Bhopal
2023-08-28,25.2,29.2,21.9,1.4,22.0,41.4,42596.6,45682.0,Bhopal
2023-08-29,25.5,29.6,21.7,0.8,19.5,37.1,42542.55,45606.62,Bhopal
2023-08-30,25.9,30.1,22.2,0.3,15.3,29.2,42487.61,45530.64,Bhopal
