time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,28.3,31.4,25.0,5.6,19.6,34.9,37265.93,47392.52
2023-07-24,28.3,31.5,25.5,1.3,21.1,39.6,41215.59,47349.64
2023-07-25,28.3,32.1,25.6,3.1,23.6,48.2,42709.67,47305.69
2023-07-26,28.4,31.3,26.5,5.5,22.6,44.6,36957.45,47260.73
2023-07-27,28.4,31.3,25.9,4.4,24.6,46.8,39916.86,47214.8
2023-07-28,28.7,33.0,26.5,3.9,15.2,30.2,35406.32,47167.98
2023-07-29,28.4,31.5,26.0,25.8,13.4,26.6,11975.94,47120.29
2023-07-30,28.9,33.3,27.1,11.6,21.0,38.9,32337.01,47071.8
2023-07-31,28.6,33.6,26.3,34.9,17.1,33.1,25802.19,47022.55
2023-08-01,27.4,28.7,25.8,39.4,20.9,37.1,0.0,46972.61
2023-08-02,26.0,27.0,25.5,78.1,25.7,44.3,306.14,46922.0
2023-08-03,29.4,33.2,26.4,4.9,27.4,47.5,41267.14,46870.79
2023-08-04,29.3,33.1,27.0,4.1,23.2,42.1,39775.53,46819.01
2023-08-05,29.2,32.8,26.9,2.2,18.4,34.6,28152.42,46766.73
2023-08-06,29.1,32.2,27.3,3.0,18.8,35.6,16345.12,46713.96
2023-08-07,29.0,33.0,26.8,5.6,20.7,38.5,28204.14,46660.31
2023-08-08,29.4,33.1,26.5,0.5,16.7,35.6,33456.65,46605.68
2023-08-09,29.4,33.7,26.5,0.6,14.7,29.2,42158.73,46550.12
2023-08-10,29.9,34.1,26.0,0.0,13.4,25.6,41867.49,46493.69
2023-08-11,29.9,34.5,26.8,1.8,15.2,29.5,41452.75,46436.45
2023-08-12,29.0,33.0,26.7,7.7,16.3,39.2,36352.32,46378.45
2023-08-13,28.4,32.4,26.4,11.0,15.7,31.7,14271.98,46319.76
2023-08-14,27.7,31.9,25.7,8.4,13.5,26.3,18716.77,46260.42
2023-08-15,28.8,33.5,26.1,8.5,14.1,29.5,31738.36,46200.48
2023-08-16,28.5,32.9,26.5,12.4,16.7,31.0,33431.4,46140.01
2023-08-17,27.3,29.2,26.1,17.9,14.6,29.9,801.58,46079.04
2023-08-18,26.2,28.3,25.0,19.2,15.1,26.6,901.8,46017.64
2023-08-19,28.0,31.3,24.6,1.2,19.8,34.2,36905.63,45955.84
2023-08-20,28.6,32.2,25.6,2.3,20.3,37.4,41158.12,45893.71
2023-08-21,28.4,31.6,25.9,5.0,13.0,25.9,29109.09,45831.29
2023-08-22,28.6,32.3,26.3,5.9,17.1,31.0,24473.16,45768.62
2023-08-23,28.2,31.9,26.3,20.6,17.1,34.6,25885.47,45705.75
2023-08-24,27.5,32.5,26.0,12.3,22.2,40.7,21251.27,45642.74
2023-08-25,27.3,31.2,26.1,14.7,20.5,40.3,14400.0,45579.62
2023-08-26,27.7,32.1,25.8,19.6,22.7,41.0,19218.94,45516.41
2023-08-27,29.3,33.6,25.7,0.0,16.9,33.8,38685.65,45452.71
