time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,27.2,29.2,25.6,11.1,19.6,36.4,7.93,45988.08,Chennai
2023-07-24,27.0,29.4,25.4,10.3,15.6,31.3,0.0,45961.03,Chennai
2023-07-25,26.5,28.5,24.6,15.8,17.5,32.4,0.0,45933.3,Chennai
2023-07-26,26.7,28.8,25.0,5.3,20.5,36.0,0.0,45904.93,Chennai
2023-07-27,29.6,34.6,25.5,0.0,24.7,51.5,40980.63,45875.95,Chennai
2023-07-28,30.7,35.3,27.0,0.5,24.3,46.4,41569.04,45846.4,Chennai
2023-07-29,31.0,35.4,27.5,0.0,26.3,50.4,41704.71,45816.3,Chennai
2023-07-30,30.9,35.5,28.1,0.0,22.7,45.7,39763.99,45785.7,Chennai
2023-07-31,30.4,34.8,27.8,0.7,18.4,42.1,37085.59,45754.62,Chennai
2023-08-01,30.8,35.1,27.4,1.3,22.4,46.4,23570.87,45723.09,Chennai
2023-08-02,31.6,36.0,28.3,0.0,22.8,45.0,40231.43,45691.14,Chennai
2023-08-03,31.5,37.0,28.5,0.7,20.9,45.4,39912.92,45658.82,Chennai
2023-08-04,30.8,36.7,27.6,0.9,19.5,38.9,36265.3,45626.13,Chennai
2023-08-05,31.2,36.3,28.3,0.6,18.7,35.6,39783.93,45593.12,Chennai
2023-08-06,30.3,35.9,24.3,15.4,18.1,36.7,40202.93,45559.8,Chennai
2023-08-07,30.1,35.6,26.2,0.8,18.7,36.7,39882.5,45525.93,Chennai
2023-08-08,30.0,35.1,24.3,1.7,18.7,35.6,31969.01,45491.43,Chennai
2023-08-09,30.0,34.3,26.6,1.9,15.0,28.8,40182.24,45456.35,Chennai
2023-08-10,29.6,35.0,25.3,0.7,14.6,32.0,38615.38,45420.71,Chennai
2023-08-11,29.0,33.8,26.6,2.3,17.0,32.0,38243.5,45384.57,Chennai
2023-08-12,28.9,35.2,25.1,18.3,17.7,33.8,39682.35,45347.94,Chennai
2023-08-13,29.2,34.5,25.2,8.1,14.8,27.4,33268.9,45310.88,Chennai
2023-08-14,28.4,33.5,25.7,11.4,18.8,32.4,39825.78,45273.39,Chennai
2023-08-15,29.1,33.4,25.4,2.7,17.3,28.8,37383.3,45235.54,Chennai
2023-08-16,29.7,34.2,26.5,0.5,17.2,30.2,40599.46,45197.34,Chennai
2023-08-17,29.6,35.3,24.8,8.5,21.3,41.8,39131.01,45158.84,Chennai
2023-08-18,29.2,35.3,24.3,0.8,22.6,39.2,28077.85,45120.05,Chennai
2023-08-19,30.0,35.5,27.1,0.5,16.5,34.6,40475.12,45081.02,Chennai
2023-08-20,29.6,34.1,26.6,0.7,17.6,33.5,35871.86,45041.78,Chennai
