time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,24.3,29.7,21.4,3.5,25.2,51.1,37430.77,45595.19
2023-07-24,23.5,28.3,20.9,3.9,25.7,50.4,18360.4,45572.55
2023-07-25,23.5,28.2,20.8,1.6,20.7,42.5,9031.79,45549.34
2023-07-26,23.8,28.5,20.7,0.5,21.3,46.1,13406.05,45525.59
2023-07-27,24.9,30.2,21.4,5.4,20.6,45.0,35242.48,45501.34
2023-07-28,25.7,31.8,21.8,1.9,20.9,43.2,42888.48,45476.61
2023-07-29,26.1,32.2,22.1,4.2,20.4,41.4,42866.74,45451.42
2023-07-30,25.8,32.0,21.6,1.4,21.2,44.3,42844.57,45425.81
2023-07-31,26.2,32.0,22.0,1.1,23.1,46.8,42005.42,45399.79
2023-08-01,26.3,32.8,22.0,0.3,25.0,49.0,42799.09,45373.41
2023-08-02,25.9,31.9,21.9,0.0,29.3,55.4,41204.8,45346.68
2023-08-03,26.2,32.4,22.0,0.0,25.7,49.3,42752.19,45319.62
2023-08-04,26.0,31.8,22.1,2.9,21.0,43.2,42728.26,45292.27
2023-08-05,26.2,32.6,21.9,3.2,21.9,46.1,41694.44,45264.64
2023-08-06,26.5,33.1,22.2,1.6,22.4,45.7,42340.85,45236.77
2023-08-07,26.8,33.0,22.8,0.0,20.1,41.4,40195.61,45208.42
2023-08-08,26.0,31.4,22.4,4.6,20.5,42.5,36753.11,45179.55
2023-08-09,26.5,32.8,22.2,3.7,15.8,33.8,38685.22,45150.2
2023-08-10,25.7,30.2,22.6,3.5,16.4,36.4,27852.59,45120.38
2023-08-11,26.0,31.8,22.5,3.6,18.1,40.3,38525.94,45090.14
2023-08-12,25.7,31.3,22.2,5.8,17.0,39.2,33888.59,45059.5
2023-08-13,26.2,32.0,22.2,2.2,20.5,41.8,41706.55,45028.48
2023-08-14,26.2,32.3,22.1,0.5,18.8,38.2,39795.84,44997.12
2023-08-15,26.4,32.7,22.0,0.0,21.7,43.9,42438.33,44965.45
2023-08-16,26.3,32.9,21.1,0.2,23.1,46.4,42409.64,44933.5
2023-08-17,26.6,32.8,22.1,0.1,24.2,48.6,42380.66,44901.29
2023-08-18,26.2,32.7,22.3,0.1,26.7,53.3,38597.23,44868.85
2023-08-19,25.5,32.0,21.8,0.0,25.5,50.8,38419.94,44836.2
2023-08-20,26.3,33.1,21.9,1.7,21.6,43.6,41941.4,44803.38
2023-08-21,26.6,33.0,22.3,0.8,17.0,36.4,40921.47,44770.39
2023-08-22,27.2,33.0,23.1,2.0,15.6,37.4,40500.62,44737.29
2023-08-23,27.3,33.9,22.8,0.8,19.4,41.0,41395.12,44704.08
2023-08-24,27.1,34.1,22.4,0.0,24.7,48.6,39705.75,44670.79
2023-08-25,27.1,34.0,21.9,0.0,21.7,44.3,42140.75,44637.45
2023-08-26,27.3,34.4,22.2,0.0,20.9,43.9,40902.59,44604.07
2023-08-27,27.6,35.0,22.7,0.0,21.5,45.0,39965.84,44570.43
2023-08-28,27.5,34.3,22.9,1.0,26.7,53.6,42047.11,44536.46
2023-08-29,26.3,33.9,22.4,18.9,16.0,37.8,35484.09,44502.2
2023-08-30,26.6,32.2,22.6,4.5,18.3,39.2,35656.3,44467.66
2023-08-31,26.3,33.2,22.7,8.0,16.6,42.8,35796.37,44432.88
2023-09-01,26.8,33.8,22.7,0.4,18.4,38.2,40214.14,44397.88
2023-09-02,26.1,32.6,22.7,5.5,21.1,43.2,32402.83,44362.7
2023-09-03,25.3,31.9,22.2,12.0,23.4,46.1,39291.31,44327.33
