time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,30.9,34.3,28.1,0.5,21.4,36.0,38429.43,49236.11,Delhi
2023-07-24,30.0,34.0,27.5,6.1,15.5,29.5,37859.11,49172.18,Delhi
2023-07-25,29.4,34.2,25.9,14.4,14.7,22.3,26868.64,49106.66,Delhi
2023-07-26,27.2,29.8,25.8,23.8,15.3,26.3,0.0,49039.66,Delhi
2023-07-27,28.7,31.9,26.5,9.0,12.7,24.8,29503.24,48971.24,Delhi
2023-07-28,28.3,32.7,26.4,18.7,10.5,18.0,25665.97,48901.48,Delhi
2023-07-29,28.1,31.4,25.1,6.4,14.1,29.2,34205.11,48830.47,Delhi
2023-07-30,29.0,33.3,24.9,1.8,15.3,22.7,39744.05,48758.28,Delhi
2023-07-31,29.6,33.7,25.6,1.1,15.5,25.6,39214.24,48684.98,Delhi
2023-08-01,30.3,34.7,26.9,0.1,18.8,30.2,42200.0,48610.65,Delhi
2023-08-02,30.1,34.9,27.5,2.4,17.9,31.3,33893.64,48535.37,Delhi
2023-08-03,29.5,34.0,26.6,13.5,18.2,32.0,39455.83,48459.2,Delhi
2023-08-04,28.6,31.8,26.2,9.5,11.2,25.9,18755.23,48382.21,Delhi
2023-08-05,29.7,33.6,26.7,5.1,12.9,25.9,29229.24,48304.49,Delhi
2023-08-06,30.1,34.8,26.3,3.0,21.3,35.3,42103.34,48226.05,Delhi
2023-08-07,29.8,34.1,26.9,0.2,21.6,34.9,42788.27,48146.33,Delhi
2023-08-08,30.1,34.2,26.5,0.0,24.9,39.6,41291.64,48065.17,Delhi
2023-08-09,30.5,34.6,26.9,0.0,20.2,33.1,36386.45,47982.65,Delhi
2023-08-10,30.0,34.1,26.9,0.4,16.8,29.2,36126.07,47898.86,Delhi
2023-08-11,30.7,34.6,27.2,0.7,16.0,28.1,41822.41,47813.88,Delhi
2023-08-12,31.2,35.8,27.7,0.0,21.1,34.9,40968.56,47727.8,Delhi
2023-08-13,31.0,35.6,27.4,0.5,18.9,32.0,39600.0,47640.7,Delhi
2023-08-14,29.6,33.7,26.5,0.2,13.8,24.8,26434.77,47552.66,Delhi
2023-08-15,30.0,34.8,25.9,0.0,10.9,21.6,36808.56,47463.76,Delhi
2023-08-16,31.3,36.4,26.1,0.0,17.1,30.2,42981.3,47374.08,Delhi
