time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,28.4,32.3,26.1,16.7,11.1,28.1,26482.97,48647.93,Guwahati
2023-07-24,28.4,32.6,25.6,28.2,10.0,25.9,28367.14,48590.75,Guwahati
2023-07-25,28.8,34.0,25.7,35.5,12.2,24.8,36292.29,48532.17,Guwahati
2023-07-26,28.6,31.6,25.9,5.7,11.5,29.2,36000.0,48472.23,Guwahati
2023-07-27,28.5,32.2,25.2,19.7,10.5,29.2,35499.73,48411.04,Guwahati
2023-07-28,27.9,30.1,25.5,31.2,10.4,26.3,21604.32,48348.64,Guwahati
2023-07-29,28.0,31.5,25.8,21.1,7.3,19.4,19048.93,48285.11,Guwahati
2023-07-30,29.0,33.2,25.5,10.2,5.8,17.3,36000.0,48220.51,Guwahati
2023-07-31,30.5,35.2,26.1,1.1,11.2,26.6,40775.75,48154.93,Guwahati
2023-08-01,31.8,36.1,27.4,2.1,18.4,40.3,42110.3,48088.41,Guwahati
2023-08-02,29.5,33.4,27.4,12.3,11.6,22.3,27180.65,48021.03,Guwahati
2023-08-03,27.9,31.6,26.1,42.8,9.5,20.9,13257.89,47952.86,Guwahati
2023-08-04,27.4,30.4,25.6,51.5,7.9,18.0,13787.92,47883.94,Guwahati
2023-08-05,28.6,31.8,25.8,6.4,13.2,32.8,34090.74,47814.36,Guwahati
2023-08-06,27.5,30.8,25.7,41.8,7.2,20.9,24998.3,47744.13,Guwahati
2023-08-07,27.4,31.4,25.4,45.6,7.9,18.7,13377.92,47672.75,Guwahati
2023-08-08,28.8,33.2,25.6,59.0,19.8,41.8,39600.0,47600.07,Guwahati
2023-08-09,28.4,31.6,26.2,5.5,6.9,21.6,28950.41,47526.17,Guwahati
2023-08-10,28.6,32.4,25.5,8.0,10.0,26.6,42037.77,47451.13,Guwahati
2023-08-11,28.6,32.1,26.3,16.4,10.7,28.1,43200.0,47375.02,Guwahati
2023-08-12,28.2,31.4,25.9,43.6,10.6,31.3,30952.27,47297.91,Guwahati
2023-08-13,27.6,30.2,25.9,41.2,9.7,22.7,22332.21,47219.88,Guwahati
2023-08-14,29.0,32.2,25.9,1.6,11.9,26.3,40605.28,47141.0,Guwahati
2023-08-15,29.4,33.0,26.3,3.1,15.1,32.0,39600.0,47061.34,Guwahati
2023-08-16,29.2,33.0,26.4,10.7,10.4,22.7,42571.82,46980.97,Guwahati
2023-08-17,29.8,34.2,26.2,3.7,14.9,33.1,43200.0,46899.96,Guwahati
2023-08-18,28.8,32.7,26.0,11.8,9.0,34.2,31340.97,46818.38,Guwahati
2023-08-19,28.2,31.1,26.5,14.8,10.4,27.0,19219.25,46736.29,Guwahati
2023-08-20,28.7,32.7,26.3,4.5,13.6,32.8,27609.35,46653.77,Guwahati
2023-08-21,28.5,31.9,25.8,4.6,15.5,35.6,36246.1,46570.86,Guwahati
2023-08-22,27.2,28.5,25.9,13.8,6.5,23.0,0.0,46487.63,Guwahati
2023-08-23,27.2,30.2,25.5,15.8,6.9,19.1,26678.75,46404.16,Guwahati
2023-08-24,27.0,30.7,25.2,27.8,11.3,24.8,26670.59,46320.49,Guwahati
2023-08-25,27.2,30.8,25.2,59.8,8.7,19.4,23872.48,46236.69,Guwahati
2023-08-26,27.0,29.5,25.7,45.4,9.2,29.5,9737.93,46152.79,Guwahati
2023-08-27,26.7,29.8,24.8,21.5,8.8,31.0,16802.07,46068.23,Guwahati
2023-08-28,27.3,31.3,24.9,3.0,9.2,23.8,25651.06,45982.87,Guwahati
2023-08-29,28.3,32.5,25.1,0.6,8.7,22.0,40269.16,45896.75,Guwahati
2023-08-30,29.2,34.0,24.2,0.0,7.0,18.4,42759.72,45809.96,Guwahati
2023-08-31,29.9,34.5,25.5,0.2,9.7,23.0,42698.64,45722.54,Guwahati
2023-09-01,29.8,33.6,26.1,1.6,14.7,31.3,42636.77,45634.58,Guwahati
2023-09-02,28.9,32.1,26.3,1.8,11.0,27.0,20136.67,45546.12,Guwahati
2023-09-03,29.3,34.2,25.0,2.7,12.0,26.3,41982.54,45457.23,Guwahati
2023-09-04,30.3,36.1,25.7,0.0,8.8,21.6,42447.29,45367.96,Guwahati
2023-09-05,31.3,36.4,26.1,0.0,10.5,24.8,42383.11,45278.39,Guwahati
2023-09-06,31.1,36.5,26.7,0.0,13.0,32.8,38718.55,45188.57,Guwahati
2023-09-07,29.5,33.5,26.4,11.4,7.3,20.2,35160.15,45098.55,Guwahati
2023-09-08,28.3,30.6,26.6,10.1,12.1,28.1,11711.59,45008.4,Guwahati
2023-09-09,28.7,32.2,26.1,13.7,10.5,24.1,28615.03,44918.16,Guwahati
2023-09-10,30.0,33.9,26.8,1.3,10.2,22.7,39631.88,44827.91,Guwahati
2023-09-11,28.8,32.9,26.2,5.9,9.8,23.4,39600.0,44737.68,Guwahati
2023-09-12,28.3,31.7,25.3,7.9,6.4,18.0,32408.75,44647.55,Guwahati
2023-09-13,28.6,32.6,25.8,7.2,8.8,21.6,20748.04,44557.55,Guwahati
2023-09-14,29.2,33.1,26.3,0.7,5.9,22.3,39371.7,44467.76,Guwahati
2023-09-15,28.8,33.3,26.2,9.8,9.2,22.3,38036.61,44378.18,Guwahati
2023-09-16,29.3,33.2,25.9,2.0,8.9,21.2,38439.62,44288.27,Guwahati
2023-09-17,29.1,33.5,25.6,2.2,10.0,23.8,39666.57,44197.86,Guwahati
2023-09-18,29.6,34.5,25.8,4.0,12.2,28.1,37375.64,44106.99,Guwahati
2023-09-19,28.0,30.8,26.6,9.2,5.4,16.6,17378.74,44015.73,Guwahati
2023-09-20,27.3,30.2,25.6,35.4,10.8,26.6,20969.31,43924.14,Guwahati
2023-09-21,26.5,28.7,25.1,25.5,7.0,15.5,10957.86,43832.29,Guwahati
2023-09-22,27.0,30.6,25.0,4.5,8.9,26.3,29282.46,43740.21,Guwahati
2023-09-23,27.1,29.4,25.1,13.0,10.9,25.9,28284.21,43647.99,Guwahati
2023-09-24,27.3,30.7,24.6,2.7,10.5,27.0,38661.21,43555.67,Guwahati
2023-09-25,27.7,31.7,25.0,10.2,6.5,17.6,25823.84,43463.32,Guwahati
2023-09-26,27.2,31.1,24.3,11.7,6.9,20.2,35149.27,43370.97,Guwahati
2023-09-27,28.0,32.4,24.3,2.9,8.4,17.6,35058.77,43278.71,Guwahati
2023-09-28,29.5,34.2,24.9,0.0,9.9,23.8,39444.04,43186.58,Guwahati
2023-09-29,30.4,35.1,25.8,0.0,13.3,29.9,39244.08,43094.65,Guwahati
2023-09-30,28.0,32.1,25.6,8.6,8.1,29.5,16217.53,43002.96,Guwahati
2023-10-01,27.9,31.3,25.6,9.3,10.5,24.5,29760.77,42911.59,Guwahati
2023-10-02,28.2,32.1,25.3,32.3,8.9,22.0,34698.77,42820.58,Guwahati
2023-10-03,27.2,31.8,24.9,29.9,10.5,32.0,31853.58,42730.0,Guwahati
2023-10-04,26.3,28.3,24.8,38.4,6.3,15.1,7136.02,42639.91,Guwahati
2023-10-05,25.7,26.8,24.2,66.8,15.9,32.0,0.0,42550.33,Guwahati
2023-10-06,25.0,27.9,22.7,53.6,22.3,46.8,12260.94,42460.66,Guwahati
2023-10-07,25.8,28.8,24.1,18.1,14.4,31.7,26519.82,42370.71,Guwahati
2023-10-08,26.2,29.8,23.9,9.5,10.0,25.6,36760.68,42280.55,Guwahati
2023-10-09,26.9,31.2,23.6,3.7,11.4,31.0,38933.21,42190.25,Guwahati
2023-10-10,26.3,30.4,23.4,4.7,7.6,17.6,36604.93,42099.86,Guwahati
2023-10-11,26.7,30.6,22.9,3.2,7.4,20.5,38872.41,42009.46,Guwahati
2023-10-12,26.1,29.9,23.1,6.1,7.7,22.0,32400.0,41919.12,Guwahati
2023-10-13,25.4,29.3,22.7,0.9,9.2,22.0,38810.09,41828.89,Guwahati
2023-10-14,24.9,29.3,21.2,1.2,11.2,27.0,38778.31,41738.86,Guwahati
2023-10-15,25.0,29.8,20.4,1.6,7.2,18.0,38746.11,41649.07,Guwahati
2023-10-16,25.7,30.5,20.7,0.6,7.5,20.2,38713.47,41559.62,Guwahati
2023-10-17,25.3,30.8,21.2,2.0,9.7,24.1,38680.38,41470.56,Guwahati
2023-10-18,25.3,30.2,20.8,0.9,5.9,17.6,38646.83,41381.98,Guwahati
2023-10-19,24.9,29.4,20.5,1.6,8.2,17.3,38559.2,41293.93,Guwahati
2023-10-20,24.5,29.9,20.2,0.0,9.2,23.0,38467.91,41206.49,Guwahati
2023-10-21,25.5,30.4,20.4,0.0,12.3,28.4,38377.23,41119.73,Guwahati
2023-10-22,25.5,30.9,20.0,0.0,11.3,26.3,38287.23,41033.75,Guwahati
2023-10-23,25.7,30.8,21.7,0.0,10.0,23.8,35726.29,40948.59,Guwahati
2023-10-24,25.6,29.3,22.1,0.0,8.1,18.4,15160.71,40864.35,Guwahati
2023-10-25,25.1,30.4,21.1,0.3,11.3,22.0,37281.83,40781.07,Guwahati
2023-10-26,24.8,29.5,20.6,0.5,7.4,20.2,37501.27,40698.08,Guwahati
2023-10-27,24.8,29.5,20.6,0.8,8.7,18.4,37847.08,40615.19,Guwahati
2023-10-28,25.0,29.8,19.8,0.0,6.1,16.6,37759.64,40532.46,Guwahati
2023-10-29,24.6,30.2,19.4,0.0,9.5,23.0,37672.35,40449.98,Guwahati
2023-10-30,24.5,30.9,19.0,0.0,9.5,21.2,36767.6,40367.82,Guwahati
2023-10-31,24.9,31.5,19.8,0.0,9.3,23.4,36070.94,40286.07,Guwahati
2023-11-01,25.1,31.9,19.0,0.0,7.1,19.8,36029.56,40204.79,Guwahati
2023-11-02,24.7,31.1,18.7,0.0,6.9,17.3,37008.08,40124.09,Guwahati
2023-11-03,24.6,30.1,19.8,0.0,6.5,15.5,36579.36,40044.03,Guwahati
