time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,25.0,28.7,23.4,17.4,23.5,44.3,14717.45,46813.11,Hyderabad
2023-07-24,24.8,28.1,23.1,9.9,25.6,49.7,8881.07,46776.77,Hyderabad
2023-07-25,24.5,27.6,22.8,16.1,27.7,57.6,4937.73,46739.54,Hyderabad
2023-07-26,24.3,27.1,23.1,23.8,26.4,49.7,3854.87,46701.43,Hyderabad
2023-07-27,23.3,24.3,22.7,82.7,30.1,56.2,0.0,46662.51,Hyderabad
2023-07-28,25.5,29.6,23.0,0.8,33.5,61.6,28304.36,46622.82,Hyderabad
2023-07-29,25.9,30.0,23.4,0.8,27.0,54.7,36220.65,46582.41,Hyderabad
2023-07-30,26.1,30.2,23.1,2.9,27.9,51.8,36526.77,46541.3,Hyderabad
2023-07-31,25.8,28.0,23.8,1.1,24.0,46.1,19074.86,46499.57,Hyderabad
2023-08-01,26.1,29.1,23.7,1.6,28.6,54.0,32252.52,46457.23,Hyderabad
2023-08-02,26.0,28.9,23.6,0.2,30.3,55.8,5980.01,46414.32,Hyderabad
2023-08-03,26.0,29.7,23.2,0.7,31.0,59.4,31095.22,46370.91,Hyderabad
2023-08-04,26.2,30.2,22.9,1.7,27.4,51.5,42976.97,46327.02,Hyderabad
2023-08-05,26.5,30.9,23.0,0.4,25.7,48.6,42490.91,46282.7,Hyderabad
2023-08-06,26.5,30.7,23.1,0.4,25.8,47.9,42789.21,46237.96,Hyderabad
2023-08-07,26.3,30.2,23.3,0.3,25.9,49.0,42480.9,46192.47,Hyderabad
2023-08-08,26.3,30.1,23.0,0.0,21.5,41.4,36704.0,46146.15,Hyderabad
2023-08-09,26.6,30.8,23.5,0.4,17.9,37.1,39237.94,46099.04,Hyderabad
2023-08-10,26.9,31.0,23.6,0.7,16.5,34.9,42613.52,46051.19,Hyderabad
2023-08-11,27.0,30.9,23.3,0.3,14.5,30.2,42755.18,46002.66,Hyderabad
2023-08-12,27.0,31.4,24.0,0.1,18.6,36.4,39297.93,45953.48,Hyderabad
2023-08-13,27.1,30.8,23.8,0.0,17.7,35.6,40246.16,45903.7,Hyderabad
2023-08-14,27.0,31.0,23.8,0.1,17.6,34.6,40403.85,45853.38,Hyderabad
2023-08-15,26.4,30.5,23.4,3.8,15.0,33.5,35438.2,45802.55,Hyderabad
2023-08-16,26.3,29.7,23.6,3.8,17.6,36.0,42282.0,45751.25,Hyderabad
2023-08-17,26.5,29.8,24.0,0.9,18.3,38.2,16835.45,45699.55,Hyderabad
2023-08-18,25.3,28.7,23.6,3.3,20.0,42.1,11365.19,45647.47,Hyderabad
2023-08-19,24.4,27.4,22.5,5.2,26.3,49.3,30810.94,45595.06,Hyderabad
2023-08-20,25.6,30.1,22.2,1.4,20.0,39.2,42450.84,45542.36,Hyderabad
2023-08-21,26.2,30.6,23.0,0.0,17.6,35.3,38681.53,45489.41,Hyderabad
2023-08-22,26.2,30.0,22.9,2.0,14.2,32.0,27840.66,45436.25,Hyderabad
2023-08-23,26.8,30.8,23.5,0.0,17.4,33.5,32545.82,45382.93,Hyderabad
2023-08-24,27.0,31.3,23.8,0.3,17.5,34.9,36784.24,45329.47,Hyderabad
2023-08-25,27.2,31.6,24.4,4.4,16.6,34.2,37798.75,45275.93,Hyderabad
2023-08-26,26.5,31.2,22.9,0.7,18.8,35.6,37098.95,45222.32,Hyderabad
2023-08-27,27.1,31.8,23.5,0.0,18.7,37.8,39600.0,45168.28,Hyderabad
2023-08-28,26.5,31.4,23.7,0.6,19.5,41.0,42051.52,45113.72,Hyderabad
2023-08-29,26.2,30.7,22.8,0.5,15.1,32.0,39806.32,45058.68,Hyderabad
2023-08-30,26.6,31.5,22.2,0.1,14.3,30.2,41770.47,45003.2,Hyderabad
2023-08-31,27.2,32.0,22.5,0.0,15.0,31.7,41116.22,44947.32,Hyderabad
2023-09-01,26.9,32.6,22.8,8.9,12.6,26.3,39087.85,44891.08,Hyderabad
2023-09-02,26.7,31.3,22.9,23.3,19.8,35.6,27363.98,44834.52,Hyderabad
2023-09-03,25.0,29.4,23.0,27.9,18.1,35.3,9911.83,44777.68,Hyderabad
2023-09-04,23.7,24.9,22.5,30.0,18.8,34.6,0.0,44720.61,Hyderabad
2023-09-05,23.7,26.5,22.2,27.0,22.0,40.0,0.0,44663.34,Hyderabad
2023-09-06,25.2,28.0,22.7,9.7,22.2,44.3,5781.76,44605.89,Hyderabad
2023-09-07,25.5,29.4,23.2,1.7,26.3,48.6,31688.9,44548.32,Hyderabad
2023-09-08,25.6,29.0,23.3,8.5,27.8,49.7,38899.62,44490.67,Hyderabad
2023-09-09,25.7,29.7,23.3,3.3,25.4,47.2,40136.5,44432.96,Hyderabad
2023-09-10,25.4,29.5,23.0,14.1,23.4,46.1,35653.08,44375.24,Hyderabad
2023-09-11,26.1,29.6,23.4,0.0,22.1,40.7,30125.59,44317.54,Hyderabad
2023-09-12,25.9,29.8,22.8,0.2,20.8,42.8,27776.45,44259.89,Hyderabad
2023-09-13,26.0,30.1,23.1,0.2,18.0,38.9,38215.16,44202.34,Hyderabad
2023-09-14,25.8,28.7,24.0,0.1,20.8,38.2,14633.21,44144.92,Hyderabad
2023-09-15,26.3,30.0,23.8,0.1,21.7,41.4,39600.0,44087.64,Hyderabad
2023-09-16,26.2,29.8,23.8,1.1,23.0,43.2,40050.93,44030.14,Hyderabad
2023-09-17,26.1,29.9,23.0,0.1,20.5,40.0,38699.46,43972.32,Hyderabad
2023-09-18,26.7,31.0,23.4,0.7,16.3,33.1,39954.26,43914.22,Hyderabad
2023-09-19,26.9,31.5,23.6,0.0,17.3,35.3,39759.31,43855.88,Hyderabad
2023-09-20,26.9,31.2,24.3,3.2,19.3,37.8,30302.91,43797.32,Hyderabad
2023-09-21,25.8,29.8,23.2,3.8,14.0,27.7,18220.66,43738.59,Hyderabad
2023-09-22,25.3,29.3,22.9,1.9,15.2,28.1,25741.65,43679.73,Hyderabad
2023-09-23,25.6,29.6,22.9,8.2,13.0,29.5,33652.89,43620.79,Hyderabad
2023-09-24,25.1,28.6,22.3,3.1,15.7,31.0,18046.01,43561.78,Hyderabad
2023-09-25,25.0,29.3,22.7,3.3,16.6,31.0,22392.14,43502.75,Hyderabad
2023-09-26,25.6,30.2,22.6,7.7,10.5,20.2,36000.0,43443.74,Hyderabad
2023-09-27,25.8,30.3,22.4,5.7,8.9,19.4,37365.88,43384.79,Hyderabad
2023-09-28,25.8,31.1,22.4,17.0,11.0,24.5,36793.99,43325.93,Hyderabad
2023-09-29,25.6,30.4,22.6,30.9,12.4,25.9,37092.02,43267.2,Hyderabad
2023-09-30,25.7,30.2,22.1,1.9,16.9,29.2,38553.52,43208.63,Hyderabad
2023-10-01,25.8,30.4,22.8,6.9,17.5,34.6,39189.5,43150.28,Hyderabad
2023-10-02,26.4,30.7,23.0,0.8,15.3,32.4,38879.54,43092.16,Hyderabad
2023-10-03,27.2,31.6,24.8,0.0,17.7,38.9,39600.0,43034.33,Hyderabad
2023-10-04,27.0,31.6,23.4,0.0,13.4,28.8,37663.37,42976.82,Hyderabad
2023-10-05,25.9,31.7,21.7,0.0,13.7,28.4,39600.0,42919.64,Hyderabad
2023-10-06,25.5,31.8,21.1,0.0,17.3,35.3,39600.0,42862.41,Hyderabad
