time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,25.7,29.6,22.3,7.1,11.5,26.6,37917.53,48364.7
2023-07-24,25.3,30.3,22.0,1.8,8.0,20.9,32644.43,48310.77
2023-07-25,25.6,30.2,22.1,16.2,8.4,21.6,37909.45,48255.49
2023-07-26,24.8,28.9,22.0,3.7,9.5,22.7,21935.22,48198.96
2023-07-27,25.4,29.1,22.1,18.8,13.8,31.3,31358.09,48141.22
2023-07-28,25.4,29.5,21.7,0.3,13.6,31.3,39552.83,48082.35
2023-07-29,25.9,30.4,21.8,3.2,10.3,23.8,41054.17,48022.4
2023-07-30,25.6,29.3,21.6,3.4,7.7,23.0,43048.16,47961.46
2023-07-31,25.9,30.3,22.2,0.7,13.0,28.8,44020.64,47899.57
2023-08-01,25.6,29.6,22.9,5.6,15.5,36.0,43200.0,47836.8
2023-08-02,24.7,29.0,22.8,36.9,11.3,23.0,17547.02,47773.21
2023-08-03,24.7,28.5,22.0,11.0,12.7,29.2,34870.58,47708.88
2023-08-04,24.8,29.2,22.2,21.1,12.3,31.7,28587.27,47643.84
2023-08-05,24.6,27.5,22.2,0.1,12.0,27.0,23903.79,47578.17
2023-08-06,24.6,28.7,22.1,7.3,12.2,38.5,37146.0,47511.89
2023-08-07,24.3,28.1,22.0,22.5,11.2,28.1,26749.83,47444.52
2023-08-08,24.2,27.7,21.9,16.7,14.8,32.0,21755.47,47375.91
2023-08-09,24.6,28.4,21.8,3.6,12.5,27.7,27175.12,47306.16
2023-08-10,24.6,28.5,22.0,2.7,8.7,21.6,27893.14,47235.32
2023-08-11,24.6,28.0,21.5,1.3,11.1,26.6,36794.59,47163.46
2023-08-12,24.5,27.7,22.5,1.7,14.9,31.7,15862.55,47090.67
2023-08-13,25.4,29.3,22.4,4.6,9.7,22.3,38528.84,47017.01
2023-08-14,25.2,29.3,21.8,0.6,11.1,25.9,40380.82,46942.54
2023-08-15,25.4,29.0,22.3,0.5,10.5,25.6,41962.46,46867.33
2023-08-16,25.3,29.7,22.1,8.7,10.0,23.0,39106.28,46791.45
2023-08-17,25.6,29.5,22.0,4.4,9.7,24.1,42880.4,46714.96
2023-08-18,25.7,29.3,22.5,3.3,9.0,21.6,39230.69,46637.93
2023-08-19,25.1,29.2,22.5,1.9,10.6,24.5,29922.93,46560.41
2023-08-20,24.8,27.8,21.8,2.8,13.7,29.2,23961.6,46482.48
2023-08-21,25.0,28.6,22.7,6.9,11.6,24.8,30152.57,46404.2
2023-08-22,22.9,25.3,21.3,3.9,11.5,24.8,15110.72,46325.6
2023-08-23,23.8,27.0,21.0,2.2,12.4,25.9,33882.64,46246.77
2023-08-24,24.1,28.5,20.6,18.4,8.7,23.4,37337.56,46167.75
2023-08-25,24.6,28.3,21.8,10.6,11.4,26.6,33210.9,46088.61
2023-08-26,23.6,26.5,21.7,12.9,9.6,27.7,7875.28,46009.37
2023-08-27,24.4,28.6,21.1,0.7,12.6,31.0,41342.91,45929.5
2023-08-28,24.1,28.4,20.6,0.3,13.1,29.9,37788.4,45848.88
2023-08-29,24.9,29.8,19.9,0.0,9.0,19.8,39946.54,45767.54
2023-08-30,25.0,30.1,20.6,15.3,7.7,20.2,39957.7,45685.56
2023-08-31,25.1,29.2,21.7,5.8,11.8,20.9,42009.75,45603.0
2023-09-01,25.3,28.7,22.1,3.3,8.4,22.7,40382.88,45519.9
2023-09-02,24.5,29.1,21.7,8.6,10.3,29.2,22343.23,45436.35
2023-09-03,25.0,30.2,20.5,0.2,11.3,26.6,41961.55,45352.38
2023-09-04,25.7,31.5,20.2,0.0,9.9,25.9,41902.39,45268.06
2023-09-05,25.5,31.0,20.2,0.7,11.5,27.4,41842.67,45183.45
2023-09-06,25.7,30.7,21.1,0.6,15.3,33.1,41537.4,45098.59
2023-09-07,24.9,29.4,21.9,7.0,11.1,26.6,34058.11,45013.56
2023-09-08,24.0,27.7,21.3,5.3,7.4,20.2,31693.53,44928.39
2023-09-09,25.0,29.4,21.4,4.8,8.0,19.4,32731.35,44843.14
2023-09-10,25.1,28.9,21.8,3.3,7.6,21.2,30950.05,44757.88
2023-09-11,25.1,29.7,21.6,0.9,7.6,20.5,37157.7,44672.64
2023-09-12,24.9,29.5,21.2,4.9,10.7,24.8,36000.0,44587.49
2023-09-13,24.7,29.4,21.7,1.9,7.2,23.0,32003.44,44502.47
2023-09-14,24.6,28.3,21.7,7.8,9.8,26.6,36458.84,44417.64
2023-09-15,24.9,29.7,21.0,0.2,7.4,17.6,39808.58,44333.02
2023-09-16,25.6,30.0,20.6,0.9,5.4,18.7,40060.08,44248.07
2023-09-17,25.5,31.2,20.6,0.4,9.7,19.4,40487.17,44162.66
2023-09-18,24.1,28.8,21.4,4.0,11.3,27.4,28288.91,44076.81
2023-09-19,23.7,28.2,21.0,17.6,9.5,26.3,21600.0,43990.6
2023-09-20,23.6,27.1,21.4,19.1,5.2,17.3,20427.16,43904.07
2023-09-21,23.5,27.6,21.0,6.2,10.6,22.3,26509.25,43817.29
2023-09-22,24.2,28.3,21.2,0.2,11.3,25.9,39806.33,43730.31
2023-09-23,24.0,27.8,21.1,1.2,11.0,24.8,36000.0,43643.19
2023-09-24,24.2,28.7,20.3,0.4,8.6,22.0,36000.0,43555.97
2023-09-25,24.1,29.1,20.1,4.0,9.8,23.4,34539.53,43468.72
2023-09-26,24.2,29.4,20.1,0.8,6.1,18.7,39600.0,43381.49
2023-09-27,24.5,28.3,20.4,0.1,6.5,19.4,36477.71,43294.33
2023-09-28,25.0,30.4,20.5,5.1,8.1,25.6,38237.79,43207.3
2023-09-29,24.9,29.8,21.4,11.5,10.6,29.2,35551.1,43120.45
2023-09-30,24.1,27.7,20.8,10.7,10.0,27.4,28800.0,43033.84
2023-10-01,24.4,28.9,21.2,3.2,10.1,23.4,39239.38,42947.53
2023-10-02,24.5,28.6,21.5,1.2,11.0,26.3,39600.0,42861.56
2023-10-03,24.6,28.5,21.4,2.5,8.6,23.8,36686.48,42776.0
2023-10-04,24.1,28.6,20.4,4.8,10.0,29.2,39600.0,42690.9
2023-10-05,24.8,28.4,21.6,6.2,7.2,21.2,38222.42,42606.29
2023-10-06,22.4,24.0,20.7,10.7,5.7,11.5,0.0,42521.59
2023-10-07,23.2,27.4,19.7,18.8,7.9,20.2,39564.78,42436.64
2023-10-08,23.2,27.7,19.7,0.5,10.9,27.0,29481.29,42351.48
2023-10-09,23.2,27.7,20.1,0.3,11.2,25.2,34061.6,42266.19
2023-10-10,23.0,27.5,18.7,0.4,11.2,25.9,39482.83,42180.82
2023-10-11,22.9,27.5,18.9,1.5,10.6,23.8,35980.66,42095.45
2023-10-12,22.3,27.8,19.4,7.4,5.4,16.2,33645.27,42010.12
