time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,25.9,30.4,23.3,20.0,12.2,25.2,31537.75,47906.85,Indore
2023-07-24,26.2,30.2,22.9,9.7,16.4,32.4,36111.35,47858.13,Indore
2023-07-25,26.3,29.9,24.0,4.5,17.8,33.1,36110.18,47808.21,Indore
2023-07-26,26.6,29.6,23.8,5.6,16.2,29.2,39469.77,47757.14,Indore
2023-07-27,26.1,30.6,23.7,4.9,16.1,28.4,23427.05,47704.97,Indore
2023-07-28,25.4,28.2,23.7,6.6,21.6,39.6,16468.34,47651.79,Indore
2023-07-29,25.7,29.4,23.5,0.8,23.8,43.9,37503.88,47597.62,Indore
2023-07-30,25.4,28.9,23.4,6.3,22.8,42.8,37991.79,47542.55,Indore
2023-07-31,25.9,29.6,23.2,2.5,23.1,41.0,39600.0,47486.62,Indore
2023-08-01,25.9,29.3,23.4,3.0,25.6,46.8,39600.0,47429.91,Indore
2023-08-02,25.6,28.7,23.3,3.5,29.9,52.2,33233.98,47372.44,Indore
2023-08-03,24.1,25.7,23.1,5.8,26.7,47.5,0.0,47314.29,Indore
2023-08-04,24.2,25.8,23.2,9.1,21.5,38.2,8950.04,47255.51,Indore
2023-08-05,25.6,28.7,23.3,1.2,23.1,43.6,29691.62,47196.14,Indore
2023-08-06,25.5,28.5,23.5,3.3,28.5,51.1,36136.11,47136.24,Indore
2023-08-07,25.1,28.4,23.0,1.6,28.0,49.7,37513.11,47075.33,Indore
2023-08-08,25.3,28.8,22.9,1.1,25.2,46.1,41293.77,47013.31,Indore
2023-08-09,25.5,28.9,23.2,0.3,22.0,40.7,34250.0,46950.25,Indore
2023-08-10,25.4,29.7,22.6,1.0,20.0,37.1,42040.6,46886.2,Indore
2023-08-11,25.4,29.1,22.6,0.6,19.2,36.7,41774.57,46821.23,Indore
2023-08-12,24.9,28.3,22.1,0.4,17.9,39.2,38223.53,46755.41,Indore
2023-08-13,25.1,28.8,22.9,3.8,24.0,45.0,30279.81,46688.8,Indore
2023-08-14,25.0,28.3,23.0,1.1,19.2,35.6,31756.99,46621.45,Indore
2023-08-15,25.4,29.2,22.8,2.5,15.5,29.5,39690.74,46553.44,Indore
2023-08-16,25.4,28.6,22.3,1.7,17.0,31.7,33514.98,46484.81,Indore
