time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,29.1,32.9,25.3,4.1,24.9,45.7,38690.6,48824.45,Jaipur
2023-07-24,29.3,33.4,26.5,2.9,17.0,33.1,38257.25,48765.25,Jaipur
2023-07-25,28.4,32.8,24.6,5.5,10.2,21.2,27188.24,48704.59,Jaipur
2023-07-26,28.1,32.2,24.8,5.4,8.4,19.4,37895.44,48642.54,Jaipur
2023-07-27,27.5,32.0,24.8,6.9,9.8,21.2,30824.71,48579.18,Jaipur
2023-07-28,27.8,32.0,25.4,3.7,18.7,35.6,36193.65,48514.57,Jaipur
2023-07-29,25.4,27.6,23.8,22.6,16.2,32.4,7634.28,48448.8,Jaipur
2023-07-30,26.7,31.4,23.6,14.3,18.4,33.5,32813.16,48381.93,Jaipur
2023-07-31,27.9,31.6,25.1,0.7,18.4,33.8,42881.01,48314.04,Jaipur
2023-08-01,28.4,32.7,25.0,1.3,15.9,30.2,39819.44,48245.18,Jaipur
2023-08-02,29.0,32.6,25.5,0.5,21.7,38.5,38231.13,48175.43,Jaipur
2023-08-03,28.8,32.5,25.6,0.0,19.9,36.4,41494.86,48104.86,Jaipur
2023-08-04,27.6,31.8,25.8,3.4,17.9,31.3,11192.65,48033.53,Jaipur
2023-08-05,29.1,32.5,26.1,0.0,17.6,33.8,35823.67,47961.5,Jaipur
2023-08-06,28.8,33.0,25.7,0.0,21.2,38.5,42971.14,47888.81,Jaipur
2023-08-07,27.8,31.7,24.9,0.0,23.6,43.9,32095.48,47814.94,Jaipur
2023-08-08,27.9,32.5,24.3,0.0,22.4,41.8,36024.45,47739.71,Jaipur
2023-08-09,28.0,32.4,24.6,0.0,21.0,38.5,39159.47,47663.23,Jaipur
2023-08-10,28.2,32.3,24.4,0.0,18.0,32.8,39600.0,47585.56,Jaipur
2023-08-11,28.6,32.9,24.6,0.0,14.8,29.5,37503.48,47506.79,Jaipur
2023-08-12,28.6,33.0,24.7,0.0,19.3,36.7,40986.65,47426.99,Jaipur
2023-08-13,27.8,31.9,25.2,0.0,18.0,34.6,21686.71,47346.24,Jaipur
2023-08-14,27.4,30.4,24.4,0.2,10.9,23.8,22724.1,47264.61,Jaipur
2023-08-15,28.3,33.3,24.5,1.0,13.3,23.8,39910.96,47182.18,Jaipur
2023-08-16,29.1,34.0,25.7,0.1,16.1,31.3,37223.33,47099.02,Jaipur
2023-08-17,29.7,34.1,25.7,0.0,17.8,34.9,43200.0,47015.19,Jaipur
2023-08-18,29.3,34.1,25.1,1.6,17.9,29.9,42282.9,46930.77,Jaipur
2023-08-19,29.2,33.2,26.1,1.0,15.0,30.2,39067.02,46845.84,Jaipur
2023-08-20,29.4,34.5,26.3,3.3,15.3,32.0,39455.1,46760.44,Jaipur
2023-08-21,29.7,34.3,25.8,1.1,12.5,22.3,39600.0,46674.66,Jaipur
2023-08-22,29.5,35.3,26.9,9.1,16.2,34.9,25845.27,46588.55,Jaipur
2023-08-23,28.2,30.9,26.2,0.3,19.4,35.6,12588.82,46502.18,Jaipur
2023-08-24,27.5,31.2,24.9,0.0,18.4,36.0,26762.96,46415.62,Jaipur
2023-08-25,27.4,31.2,24.3,0.0,17.4,33.5,38582.42,46328.92,Jaipur
2023-08-26,27.8,32.8,24.1,0.1,18.9,36.0,37983.37,46242.11,Jaipur
2023-08-27,27.7,32.4,23.2,0.0,20.2,38.9,43194.8,46154.64,Jaipur
2023-08-28,28.4,33.0,24.8,0.0,19.4,37.1,43135.04,46066.32,Jaipur
2023-08-29,28.5,32.9,24.1,0.0,18.9,36.4,43074.25,45977.23,Jaipur
2023-08-30,28.1,33.7,24.4,0.3,15.5,31.0,40484.89,45887.44,Jaipur
2023-08-31,29.4,34.5,24.0,0.0,17.8,35.6,42124.39,45797.01,Jaipur
2023-09-01,30.5,35.1,26.2,0.4,17.6,34.2,42429.95,45706.01,Jaipur
2023-09-02,30.4,35.2,26.5,0.0,20.9,39.6,42822.42,45614.5,Jaipur
2023-09-03,29.7,34.9,25.6,0.0,20.3,38.9,42757.7,45522.55,Jaipur
2023-09-04,30.4,35.0,25.8,0.0,21.3,40.3,42409.13,45430.21,Jaipur
2023-09-05,30.3,35.9,25.9,0.2,20.3,38.9,39858.67,45337.55,Jaipur
2023-09-06,28.8,34.8,25.2,0.3,21.1,37.8,40733.33,45244.63,Jaipur
2023-09-07,28.8,34.3,24.2,0.1,16.8,34.6,41152.28,45151.52,Jaipur
2023-09-08,29.2,34.2,25.7,0.2,16.8,36.7,41561.42,45058.26,Jaipur
2023-09-09,27.6,33.3,24.5,1.5,21.9,44.6,37473.16,44964.93,Jaipur
2023-09-10,27.7,33.7,24.4,3.2,20.6,38.9,38970.42,44871.56,Jaipur
2023-09-11,27.9,33.0,23.7,1.0,14.4,34.2,40459.14,44778.23,Jaipur
2023-09-12,28.5,32.5,24.5,1.1,13.6,28.8,40061.62,44685.0,Jaipur
2023-09-13,28.2,32.7,24.2,1.7,12.4,27.0,33202.02,44591.91,Jaipur
2023-09-14,28.1,33.0,25.5,29.0,12.2,23.0,30225.67,44499.03,Jaipur
2023-09-15,28.7,33.0,24.3,1.4,15.6,32.4,40275.74,44406.38,Jaipur
2023-09-16,27.5,29.7,25.0,7.3,27.9,54.0,35383.89,44313.38,Jaipur
2023-09-17,25.7,29.2,23.6,3.4,28.7,52.2,31135.62,44219.85,Jaipur
2023-09-18,25.5,29.3,22.9,1.6,26.0,47.2,17581.72,44125.86,Jaipur
2023-09-19,27.3,31.5,23.6,0.3,16.9,33.8,38598.23,44031.46,Jaipur
2023-09-20,28.4,32.5,24.1,0.0,7.3,20.5,39274.16,43936.73,Jaipur
2023-09-21,28.3,33.0,25.4,0.1,13.4,22.3,39183.58,43841.71,Jaipur
2023-09-22,28.2,33.0,24.7,0.2,12.3,25.9,35718.14,43746.48,Jaipur
2023-09-23,27.2,31.3,24.6,7.7,18.8,39.2,38909.25,43651.09,Jaipur
2023-09-24,27.9,33.6,24.4,0.6,23.3,39.2,39249.52,43555.59,Jaipur
2023-09-25,27.4,32.2,23.4,0.3,10.1,27.4,38966.32,43460.06,Jaipur
2023-09-26,27.7,32.9,23.8,2.0,9.8,21.6,38510.26,43364.54,Jaipur
2023-09-27,28.3,33.3,23.6,0.0,10.5,23.8,39096.88,43269.11,Jaipur
2023-09-28,27.4,34.0,22.3,0.0,9.7,19.8,39081.42,43173.81,Jaipur
2023-09-29,27.6,34.5,21.0,0.0,11.7,20.5,39064.71,43078.71,Jaipur
2023-09-30,28.1,35.5,21.7,0.0,13.0,25.2,38950.54,42983.87,Jaipur
2023-10-01,27.2,34.4,21.3,0.0,11.4,24.8,38934.21,42889.35,Jaipur
2023-10-02,27.3,35.2,20.5,0.0,15.0,30.2,38885.81,42795.21,Jaipur
2023-10-03,27.1,34.1,20.7,0.0,14.0,27.0,38856.67,42701.51,Jaipur
2023-10-04,27.0,34.9,20.1,0.0,14.9,29.9,38827.05,42608.31,Jaipur
2023-10-05,27.5,35.3,20.0,0.0,19.9,36.7,38796.95,42515.64,Jaipur
2023-10-06,28.4,35.4,23.1,0.0,19.4,37.8,38766.45,42422.88,Jaipur
2023-10-07,28.7,35.1,23.3,0.0,17.4,31.7,38735.64,42329.83,Jaipur
2023-10-08,28.8,34.8,23.6,0.0,19.1,37.8,38496.16,42236.56,Jaipur
2023-10-09,28.9,34.6,24.3,0.0,20.5,40.0,38351.83,42143.14,Jaipur
2023-10-10,28.4,33.7,23.2,0.0,15.2,31.0,38208.61,42049.62,Jaipur
2023-10-11,27.8,34.6,22.3,0.0,13.8,24.1,38487.9,41956.11,Jaipur
2023-10-12,27.3,34.3,20.8,0.0,11.4,25.9,38344.8,41862.63,Jaipur
2023-10-13,28.1,34.7,22.1,0.0,11.0,25.2,38063.87,41769.29,Jaipur
2023-10-14,28.8,34.4,22.6,0.0,11.7,23.4,38062.08,41676.13,Jaipur
2023-10-15,27.5,33.3,21.9,0.0,14.2,29.5,37922.54,41583.24,Jaipur
2023-10-16,25.8,32.7,21.4,0.0,19.1,37.1,31972.52,41490.68,Jaipur
