time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,31.4,34.3,28.9,0.3,22.8,46.1,43113.59,48727.82,Kanpur
2023-07-24,30.9,34.6,27.9,2.5,17.4,31.3,39143.82,48669.74,Kanpur
2023-07-25,29.4,34.4,26.2,14.0,14.4,25.6,25277.83,48610.21,Kanpur
2023-07-26,29.9,33.9,26.9,1.3,13.3,32.0,34734.61,48549.32,Kanpur
2023-07-27,30.2,34.0,26.7,10.4,13.8,28.1,35579.32,48487.15,Kanpur
2023-07-28,30.5,34.4,27.4,0.6,13.8,25.2,37362.3,48423.75,Kanpur
2023-07-29,29.2,33.5,25.6,16.1,13.7,27.0,27209.08,48359.21,Kanpur
2023-07-30,29.2,32.4,26.3,2.3,15.4,31.7,39425.95,48293.59,Kanpur
2023-07-31,29.6,33.8,26.2,4.8,15.0,30.6,39600.0,48226.95,Kanpur
2023-08-01,29.8,34.0,26.9,4.7,17.4,32.0,34063.51,48159.38,Kanpur
2023-08-02,28.9,31.6,27.0,24.3,15.6,31.3,21867.59,48090.93,Kanpur
2023-08-03,29.0,31.6,26.5,28.7,14.1,29.2,14134.0,48021.66,Kanpur
2023-08-04,28.7,32.3,26.4,8.3,12.0,29.2,35216.75,47951.66,Kanpur
2023-08-05,29.0,32.7,26.2,1.5,10.1,24.1,37325.91,47880.97,Kanpur
2023-08-06,28.4,31.3,26.3,22.4,21.1,37.4,11626.91,47809.63,Kanpur
2023-08-07,29.8,33.2,27.6,0.4,22.3,40.7,30094.63,47737.12,Kanpur
2023-08-08,29.5,32.3,27.1,1.0,23.4,42.1,31541.6,47663.29,Kanpur
2023-08-09,29.6,32.7,26.9,0.5,20.2,37.1,30312.95,47588.22,Kanpur
2023-08-10,29.6,32.0,27.3,0.0,14.3,28.1,23202.87,47511.98,Kanpur
2023-08-11,29.8,33.7,26.6,0.1,15.8,29.9,36312.99,47434.67,Kanpur
2023-08-12,30.3,34.1,27.2,0.0,20.5,37.1,35713.57,47356.34,Kanpur
2023-08-13,29.6,33.2,27.4,0.3,18.1,33.5,27973.87,47277.08,Kanpur
2023-08-14,28.7,31.9,26.3,2.0,10.2,20.2,34025.5,47196.96,Kanpur
2023-08-15,29.3,33.1,25.6,0.4,9.6,22.0,40503.46,47116.05,Kanpur
2023-08-16,30.4,34.0,26.8,0.3,15.0,31.0,41838.53,47034.41,Kanpur
2023-08-17,30.4,33.7,27.9,1.9,13.2,28.1,26731.78,46952.13,Kanpur
2023-08-18,29.0,32.2,25.8,24.0,11.4,34.2,38421.75,46869.26,Kanpur
2023-08-19,29.6,33.2,26.9,7.5,15.9,34.6,41528.8,46785.89,Kanpur
2023-08-20,30.5,34.0,27.6,0.5,18.5,35.3,41672.69,46702.06,Kanpur
2023-08-21,30.5,33.8,27.3,1.5,10.0,17.3,39540.05,46617.85,Kanpur
2023-08-22,28.3,31.6,26.1,35.6,14.8,30.2,12920.14,46533.32,Kanpur
