time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,29.1,32.4,26.7,1.6,21.7,41.0,40251.44,47876.91,Kolkata
2023-07-24,29.2,32.3,26.1,0.7,17.6,35.6,43200.0,47828.54,Kolkata
2023-07-25,28.5,32.0,26.6,9.1,23.0,46.4,41216.76,47778.96,Kolkata
2023-07-26,28.5,31.8,26.8,6.4,18.4,38.2,36961.68,47728.25,Kolkata
2023-07-27,29.0,32.0,26.3,4.8,23.9,45.0,41793.98,47676.45,Kolkata
2023-07-28,29.0,32.3,26.0,1.8,18.3,37.4,43036.0,47623.62,Kolkata
2023-07-29,28.8,32.2,26.3,10.8,15.0,34.2,32245.54,47569.84,Kolkata
2023-07-30,29.0,33.1,26.6,4.4,13.2,30.6,43193.81,47515.16,Kolkata
2023-07-31,28.8,32.7,26.7,26.1,12.7,25.9,26870.15,47459.62,Kolkata
2023-08-01,28.7,33.7,26.2,41.7,18.7,32.4,20996.05,47403.29,Kolkata
2023-08-02,28.2,31.3,26.0,30.9,32.1,58.0,35828.3,47346.23,Kolkata
2023-08-03,29.2,31.7,26.2,3.0,24.6,45.7,33274.7,47288.48,Kolkata
2023-08-04,29.7,33.1,27.0,1.9,21.7,40.7,36756.43,47230.11,Kolkata
2023-08-05,29.4,32.3,27.7,5.0,20.9,39.6,33237.93,47171.16,Kolkata
2023-08-06,28.6,31.6,26.9,9.5,20.0,38.2,9384.44,47111.66,Kolkata
2023-08-07,27.9,31.2,26.6,21.5,15.6,29.9,3679.3,47051.18,Kolkata
2023-08-08,28.0,32.0,26.4,16.0,18.3,36.7,15188.83,46989.6,Kolkata
2023-08-09,27.6,32.4,25.4,8.7,19.0,36.0,31596.71,46926.96,Kolkata
2023-08-10,29.1,33.2,25.2,11.7,13.4,31.7,30909.38,46863.36,Kolkata
2023-08-11,29.4,33.4,26.8,12.5,16.5,37.1,38991.47,46798.84,Kolkata
2023-08-12,28.2,31.7,26.6,37.9,11.8,31.7,19635.13,46733.48,Kolkata
2023-08-13,27.8,30.2,26.4,12.8,12.8,27.4,10592.98,46667.32,Kolkata
2023-08-14,27.7,32.3,25.1,21.8,8.7,22.3,26113.38,46600.45,Kolkata
2023-08-15,28.8,32.6,26.6,5.6,10.6,25.2,27507.52,46532.9,Kolkata
2023-08-16,28.6,32.3,26.7,17.1,15.2,34.2,21994.15,46464.75,Kolkata
2023-08-17,28.7,33.3,26.3,10.1,15.8,38.9,38951.75,46396.05,Kolkata
2023-08-18,28.5,31.7,26.0,5.9,27.3,54.4,37115.04,46326.85,Kolkata
2023-08-19,28.9,31.4,26.4,2.0,20.1,41.0,35983.76,46257.23,Kolkata
2023-08-20,29.3,32.5,26.5,0.5,17.6,34.6,40866.55,46187.21,Kolkata
2023-08-21,29.5,32.5,26.2,0.7,18.0,35.3,39490.41,46116.88,Kolkata
2023-08-22,28.6,31.4,26.0,7.1,17.7,37.1,30740.07,46046.28,Kolkata
2023-08-23,27.7,31.2,25.6,22.2,14.8,31.7,28335.02,45975.45,Kolkata
2023-08-24,27.7,32.1,25.5,28.2,16.7,33.5,20134.07,45904.45,Kolkata
2023-08-25,27.5,30.4,26.0,24.5,12.4,28.4,9828.75,45833.34,Kolkata
2023-08-26,27.2,31.6,25.7,35.1,17.1,32.8,11185.83,45762.14,Kolkata
2023-08-27,29.1,33.4,25.8,1.9,15.6,28.4,36925.7,45690.38,Kolkata
2023-08-28,29.9,33.9,26.3,0.0,11.3,24.1,42604.98,45617.93,Kolkata
2023-08-29,30.0,33.6,26.2,0.2,9.4,21.6,42587.52,45544.83,Kolkata
2023-08-30,30.3,34.1,25.6,1.0,13.0,25.2,32894.83,45471.16,Kolkata
2023-08-31,29.9,34.0,27.2,0.2,12.3,25.6,37950.88,45396.96,Kolkata
2023-09-01,29.6,33.5,26.8,12.9,10.1,22.3,33343.54,45322.29,Kolkata
2023-09-02,29.1,32.7,27.1,23.4,12.6,22.3,20185.57,45247.18,Kolkata
2023-09-03,28.2,32.8,26.2,22.7,13.8,29.2,26524.36,45171.72,Kolkata
2023-09-04,27.3,31.3,25.8,11.8,18.0,41.4,17027.76,45095.94,Kolkata
2023-09-05,27.2,30.0,25.2,11.8,19.5,42.1,11563.51,45019.89,Kolkata
2023-09-06,28.1,31.5,26.1,4.1,15.4,41.0,20089.45,44943.62,Kolkata
2023-09-07,26.9,30.2,25.5,21.7,16.2,34.6,15233.66,44867.19,Kolkata
2023-09-08,27.3,29.2,25.2,17.3,19.8,40.0,8561.36,44790.64,Kolkata
2023-09-09,28.3,31.3,25.7,12.2,13.3,34.2,30670.73,44714.01,Kolkata
2023-09-10,29.1,32.4,25.9,1.8,15.1,32.0,41211.84,44637.37,Kolkata
2023-09-11,29.0,32.5,26.5,4.3,12.3,26.6,31901.79,44560.75,Kolkata
2023-09-12,28.3,32.1,26.2,5.2,13.6,33.1,30674.48,44484.21,Kolkata
2023-09-13,27.9,31.7,26.0,10.3,18.1,39.6,28304.2,44407.79,Kolkata
2023-09-14,27.5,30.8,25.8,16.9,28.0,55.1,30916.69,44331.54,Kolkata
2023-09-15,27.4,29.9,25.6,6.3,19.3,40.3,25504.94,44255.47,Kolkata
2023-09-16,28.4,32.6,25.5,1.6,15.1,29.9,39611.89,44179.12,Kolkata
2023-09-17,29.2,33.5,25.6,0.1,12.9,28.1,41491.57,44102.34,Kolkata
2023-09-18,27.5,30.7,25.6,15.2,11.9,29.5,19363.86,44025.17,Kolkata
2023-09-19,27.0,29.6,25.2,16.0,15.9,32.4,16316.55,43947.68,Kolkata
2023-09-20,27.1,29.2,25.7,13.6,18.2,38.2,578.97,43869.9,Kolkata
2023-09-21,27.6,30.3,25.7,11.5,23.8,47.9,25708.3,43791.9,Kolkata
2023-09-22,27.5,31.1,25.8,12.0,24.1,44.6,19270.5,43713.72,Kolkata
2023-09-23,28.0,30.7,25.5,8.0,18.5,46.4,24935.05,43635.41,Kolkata
2023-09-24,27.3,31.0,25.1,23.1,17.3,34.9,28608.16,43557.02,Kolkata
2023-09-25,27.3,31.3,24.9,14.1,16.1,32.4,22171.22,43478.59,Kolkata
2023-09-26,27.8,32.2,24.4,2.5,13.6,27.4,31472.33,43400.19,Kolkata
2023-09-27,28.3,32.9,24.1,0.3,9.5,17.6,35925.75,43321.85,Kolkata
2023-09-28,28.6,31.8,25.5,0.7,8.6,21.2,31360.0,43243.64,Kolkata
2023-09-29,28.4,32.5,25.2,37.0,11.7,27.7,7288.08,43165.59,Kolkata
2023-09-30,26.4,29.6,25.4,39.5,20.8,38.2,5110.6,43087.75,Kolkata
2023-10-01,27.0,30.1,25.1,11.8,18.8,37.1,26391.21,43010.18,Kolkata
2023-10-02,27.0,30.0,25.2,10.9,19.6,38.5,22960.33,42932.93,Kolkata
2023-10-03,26.3,28.7,24.6,25.4,21.3,40.0,14674.99,42856.05,Kolkata
2023-10-04,25.8,28.1,24.5,44.6,18.3,39.2,3600.0,42779.58,Kolkata
2023-10-05,26.6,30.2,25.0,40.9,16.4,35.6,5885.19,42703.55,Kolkata
2023-10-06,27.6,32.2,25.2,12.5,16.3,28.4,28282.2,42627.45,Kolkata
2023-10-07,28.3,32.5,24.8,0.3,8.8,20.5,37779.11,42551.11,Kolkata
2023-10-08,27.9,32.3,25.1,5.7,8.9,20.9,37654.11,42474.61,Kolkata
2023-10-09,28.5,33.2,24.9,0.3,11.7,23.8,36582.18,42397.98,Kolkata
2023-10-10,29.3,33.6,24.8,0.0,11.2,23.0,38168.12,42321.29,Kolkata
2023-10-11,29.4,33.6,25.0,0.0,9.1,20.2,38321.18,42244.6,Kolkata
2023-10-12,29.1,33.4,24.3,0.0,10.5,20.5,38445.97,42167.95,Kolkata
2023-10-13,28.4,33.5,23.4,0.0,8.4,17.3,37220.8,42091.42,Kolkata
2023-10-14,27.8,33.0,23.3,0.0,11.3,22.7,36726.36,42015.05,Kolkata
2023-10-15,27.5,32.6,23.1,0.0,9.0,18.0,38131.35,41938.91,Kolkata
2023-10-16,27.2,31.3,23.4,0.6,13.3,25.9,38044.14,41863.05,Kolkata
2023-10-17,27.4,31.2,22.7,0.2,8.1,15.5,36937.76,41787.53,Kolkata
2023-10-18,27.0,31.8,23.2,0.0,11.5,23.8,37110.61,41712.42,Kolkata
2023-10-19,26.9,31.3,22.3,0.0,11.3,25.2,37424.32,41637.77,Kolkata
2023-10-20,26.4,31.2,21.9,0.0,11.4,24.5,37542.2,41563.65,Kolkata
2023-10-21,25.7,30.7,20.7,0.0,10.6,23.8,37538.67,41490.12,Kolkata
2023-10-22,26.8,31.3,23.0,0.0,11.7,25.9,36823.6,41417.23,Kolkata
2023-10-23,25.5,30.4,22.9,9.5,15.0,32.4,22904.46,41345.07,Kolkata
2023-10-24,25.6,28.9,23.3,0.0,19.6,37.1,11105.38,41273.69,Kolkata
2023-10-25,26.6,30.9,22.4,0.2,12.9,27.7,36710.31,41203.12,Kolkata
2023-10-26,26.4,31.1,22.3,0.2,8.4,20.2,36367.56,41132.82,Kolkata
2023-10-27,25.7,30.7,22.3,1.3,15.5,36.0,22949.52,41062.6,Kolkata
2023-10-28,25.7,29.9,21.6,0.3,7.6,18.4,36825.75,40992.53,Kolkata
2023-10-29,25.2,30.4,19.6,0.0,9.3,22.0,36936.33,40922.67,Kolkata
2023-10-30,25.8,30.7,19.7,0.0,8.3,19.4,36603.48,40853.1,Kolkata
2023-10-31,26.2,31.2,20.7,0.0,7.5,19.1,36713.3,40783.88,Kolkata
2023-11-01,27.3,32.0,22.0,0.0,8.2,16.9,36497.27,40715.07,Kolkata
2023-11-02,27.3,31.9,23.4,0.0,7.2,17.6,36286.15,40646.76,Kolkata
2023-11-03,26.6,30.2,23.6,1.7,9.7,25.6,36000.0,40579.0,Kolkata
2023-11-04,25.3,30.6,22.3,3.5,12.1,34.6,36086.7,40511.88,Kolkata
2023-11-05,25.2,30.0,22.0,4.6,8.0,32.8,34793.66,40445.45,Kolkata
2023-11-06,25.4,31.2,21.5,0.0,12.9,27.7,36199.54,40379.8,Kolkata
2023-11-07,24.5,30.5,19.2,0.0,11.4,24.1,36104.91,40314.99,Kolkata
2023-11-08,24.3,30.2,18.7,0.0,10.8,23.0,36304.93,40251.12,Kolkata
2023-11-09,25.2,30.5,18.3,0.0,9.0,20.5,36211.27,40188.24,Kolkata
2023-11-10,25.1,30.5,18.3,0.0,12.5,26.3,36214.49,40126.45,Kolkata
2023-11-11,24.6,30.5,19.2,0.0,10.6,24.5,36125.4,40065.82,Kolkata
2023-11-12,24.8,30.7,19.7,0.0,12.3,26.3,36129.7,40006.42,Kolkata
2023-11-13,24.4,30.2,19.5,0.0,13.1,27.4,36133.64,39948.35,Kolkata
2023-11-14,24.0,30.1,19.2,0.0,11.3,25.2,36000.0,39891.65,Kolkata
2023-11-15,24.8,30.3,19.9,0.0,13.2,28.4,33409.27,39835.79,Kolkata
2023-11-16,24.0,27.5,22.7,13.1,15.5,27.7,0.0,39780.59,Kolkata
2023-11-17,24.8,29.7,20.6,1.6,29.2,55.1,33128.13,39726.12,Kolkata
2023-11-18,23.5,28.8,18.8,0.0,9.2,22.7,35406.2,39672.45,Kolkata
2023-11-19,23.8,29.4,19.4,0.0,11.2,24.8,35927.18,39619.65,Kolkata
2023-11-20,23.9,29.4,18.8,0.0,9.6,22.7,35913.05,39567.78,Kolkata
2023-11-21,24.6,29.9,20.7,0.0,9.8,23.0,33930.13,39516.89,Kolkata
2023-11-22,23.0,28.8,18.1,0.0,9.6,22.0,35888.83,39467.09,Kolkata
2023-11-23,22.0,27.9,16.7,0.0,10.2,24.1,35878.75,39418.41,Kolkata
2023-11-24,23.1,28.3,16.6,0.0,9.9,23.0,35870.02,39370.95,Kolkata
2023-11-25,22.6,28.6,17.8,0.0,12.1,26.3,35862.66,39324.75,Kolkata
2023-11-26,22.7,28.6,18.0,0.0,12.4,27.0,35856.65,39279.91,Kolkata
2023-11-27,23.0,28.8,16.5,0.0,7.9,14.8,35280.44,39236.49,Kolkata
2023-11-28,23.7,29.3,18.1,0.0,9.8,17.6,35848.73,39194.57,Kolkata
2023-11-29,23.8,29.6,18.9,0.0,9.1,16.9,35846.84,39154.21,Kolkata
2023-11-30,23.8,29.6,19.7,0.0,9.7,23.0,35846.32,39115.49,Kolkata
2023-12-01,23.9,30.2,19.0,0.0,14.1,29.9,35847.19,39078.49,Kolkata
2023-12-02,24.0,29.8,19.8,0.0,12.6,24.5,35849.45,39043.28,Kolkata
2023-12-03,24.3,30.1,19.3,0.0,10.6,24.5,34700.77,39009.93,Kolkata
2023-12-04,24.0,27.6,20.3,0.0,12.3,27.0,7361.61,38978.5,Kolkata
2023-12-05,23.6,25.6,21.8,0.0,14.4,28.4,150.94,38948.64,Kolkata
2023-12-06,23.3,27.7,20.6,1.7,15.8,32.0,22635.73,38920.25,Kolkata
