time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,31.3,34.2,28.9,0.5,22.2,45.7,43179.75,48808.28,Lucknow
2023-07-24,30.7,34.2,26.1,27.8,15.2,31.7,41595.81,48749.27,Lucknow
2023-07-25,29.1,33.0,26.1,15.8,14.4,32.4,28800.0,48688.8,Lucknow
2023-07-26,29.9,34.0,26.7,1.1,11.3,26.3,33003.5,48626.95,Lucknow
2023-07-27,30.3,34.5,26.8,6.1,14.1,28.8,37804.29,48563.78,Lucknow
2023-07-28,30.4,33.8,27.5,2.5,15.1,27.4,37812.55,48499.39,Lucknow
2023-07-29,28.7,32.8,26.0,27.7,12.3,24.1,29452.57,48433.82,Lucknow
2023-07-30,29.4,32.8,26.8,1.4,12.7,25.9,41354.65,48367.16,Lucknow
2023-07-31,29.4,33.5,26.0,3.6,14.8,25.9,36568.18,48299.47,Lucknow
2023-08-01,29.6,33.3,26.2,15.9,15.2,30.2,36000.0,48230.82,Lucknow
2023-08-02,29.0,32.6,26.5,10.9,13.5,29.5,21631.65,48161.3,Lucknow
2023-08-03,29.8,32.2,27.6,4.5,17.7,35.3,27794.87,48090.94,Lucknow
2023-08-04,28.6,31.7,25.8,16.0,16.6,36.0,32400.0,48019.83,Lucknow
2023-08-05,29.1,33.2,26.3,1.4,10.6,22.0,36205.32,47948.04,Lucknow
2023-08-06,29.0,32.0,26.5,13.1,17.7,33.5,30761.7,47875.57,Lucknow
2023-08-07,29.6,32.9,26.5,2.5,19.7,37.4,31296.99,47801.92,Lucknow
2023-08-08,29.6,33.2,27.1,0.9,21.8,39.6,38325.96,47726.93,Lucknow
2023-08-09,28.9,31.0,27.2,4.3,15.8,34.9,16982.68,47650.68,Lucknow
2023-08-10,29.3,31.6,27.0,0.1,13.4,24.1,7998.88,47573.25,Lucknow
2023-08-11,30.2,33.6,27.0,0.0,15.8,28.8,34530.29,47494.73,Lucknow
2023-08-12,30.4,34.1,28.1,0.0,22.4,39.6,33547.82,47415.17,Lucknow
2023-08-13,29.3,31.7,27.2,1.1,15.7,28.1,25455.44,47334.67,Lucknow
2023-08-14,28.2,31.8,25.9,1.3,9.0,14.8,33754.61,47253.3,Lucknow
2023-08-15,29.3,33.0,25.5,1.2,10.0,20.5,40792.34,47171.12,Lucknow
2023-08-16,30.3,34.2,26.7,0.5,14.2,27.0,41541.84,47088.21,Lucknow
2023-08-17,29.6,33.5,27.4,5.8,11.0,28.4,25764.26,47004.64,Lucknow
2023-08-18,29.7,33.7,26.0,9.3,9.2,27.0,39481.27,46920.49,Lucknow
2023-08-19,29.9,33.7,27.0,4.4,16.0,36.4,40950.52,46835.81,Lucknow
2023-08-20,30.5,34.0,27.8,0.4,20.1,36.7,41239.44,46750.68,Lucknow
2023-08-21,30.3,33.8,27.3,0.4,10.5,23.0,33313.95,46665.16,Lucknow
2023-08-22,28.1,30.3,25.8,19.7,11.0,22.3,5628.91,46579.31,Lucknow
2023-08-23,27.8,31.9,25.9,7.0,16.0,31.0,27955.19,46493.21,Lucknow
2023-08-24,27.0,29.9,25.2,37.4,24.1,42.5,24603.51,46406.91,Lucknow
2023-08-25,28.9,33.2,25.4,2.2,18.0,33.1,36531.96,46320.48,Lucknow
2023-08-26,29.3,33.2,24.9,0.0,20.5,35.3,40814.1,46233.94,Lucknow
2023-08-27,29.7,33.7,26.8,0.0,23.7,42.1,40813.36,46146.73,Lucknow
2023-08-28,28.8,32.5,26.0,1.0,23.0,42.1,40680.52,46058.68,Lucknow
2023-08-29,28.3,32.9,24.4,8.7,17.9,31.7,34650.5,45969.87,Lucknow
2023-08-30,29.5,33.8,26.2,0.2,13.4,27.0,39906.31,45880.35,Lucknow
2023-08-31,30.1,34.7,26.1,0.2,12.6,23.4,40551.57,45790.2,Lucknow
2023-09-01,30.6,35.0,26.4,0.1,15.0,28.8,40427.11,45699.48,Lucknow
2023-09-02,31.1,35.8,27.0,0.0,22.0,38.5,40305.97,45608.25,Lucknow
2023-09-03,30.7,35.8,26.1,0.0,17.1,31.0,40307.89,45516.57,Lucknow
2023-09-04,30.5,34.5,26.6,0.0,8.4,19.1,39957.02,45424.52,Lucknow
2023-09-05,29.8,32.7,27.0,2.8,21.6,44.6,39600.0,45332.14,Lucknow
2023-09-06,29.4,32.6,26.2,0.0,14.8,28.4,17158.17,45239.5,Lucknow
2023-09-07,28.9,31.6,27.2,5.2,12.6,24.8,17902.42,45146.67,Lucknow
2023-09-08,28.0,32.7,25.9,8.3,22.9,44.6,29436.48,45053.7,Lucknow
2023-09-09,27.2,30.3,24.7,28.1,23.4,42.8,12289.68,44960.64,Lucknow
2023-09-10,27.2,29.6,24.8,36.0,18.2,35.6,13981.54,44867.56,Lucknow
2023-09-11,27.0,30.2,25.5,32.9,16.4,32.4,93.91,44774.52,Lucknow
2023-09-12,27.9,31.1,25.0,10.4,11.2,24.5,25131.97,44681.57,Lucknow
2023-09-13,29.1,33.0,25.4,0.6,6.8,18.4,25810.95,44588.77,Lucknow
2023-09-14,29.6,33.5,26.7,3.1,12.6,27.7,39430.32,44496.17,Lucknow
2023-09-15,30.1,33.3,27.4,0.1,23.8,47.5,35384.51,44403.79,Lucknow
2023-09-16,28.8,31.6,26.0,3.1,24.6,45.0,30322.1,44311.07,Lucknow
2023-09-17,29.1,32.5,26.6,0.4,16.6,33.1,34455.84,44217.83,Lucknow
2023-09-18,28.5,32.3,25.8,5.6,11.2,22.0,37279.09,44124.12,Lucknow
2023-09-19,28.7,32.5,25.5,7.3,11.1,23.8,36112.83,44030.02,Lucknow
2023-09-20,29.0,32.7,25.9,0.2,7.7,18.7,39600.0,43935.57,Lucknow
2023-09-21,28.6,32.2,25.5,1.1,12.3,23.8,35710.25,43840.85,Lucknow
2023-09-22,27.8,31.2,24.1,2.5,13.3,23.4,38090.76,43745.9,Lucknow
2023-09-23,27.4,31.2,24.6,0.5,12.6,27.0,36222.78,43650.8,Lucknow
2023-09-24,27.7,32.1,23.6,1.5,15.6,24.5,36127.98,43555.6,Lucknow
2023-09-25,27.6,31.1,24.4,0.0,9.1,20.9,39600.0,43460.35,Lucknow
2023-09-26,27.8,31.7,24.2,0.2,15.9,31.7,39600.0,43365.12,Lucknow
2023-09-27,28.8,33.0,24.9,0.0,6.3,16.6,39600.0,43269.98,Lucknow
2023-09-28,28.4,33.1,24.8,4.2,6.3,14.0,39600.0,43174.98,Lucknow
2023-09-29,28.9,34.1,24.5,0.0,6.9,13.7,39600.0,43080.17,Lucknow
2023-09-30,29.2,33.8,24.8,0.0,12.1,20.9,39600.0,42985.62,Lucknow
2023-10-01,28.5,33.2,24.9,0.0,9.9,16.6,39600.0,42891.38,Lucknow
2023-10-02,27.3,30.9,25.4,19.1,11.5,25.6,26520.84,42797.53,Lucknow
2023-10-03,27.7,32.2,24.4,0.5,7.0,19.8,35911.43,42704.11,Lucknow
2023-10-04,26.8,31.4,23.9,1.3,16.1,30.6,39019.53,42611.2,Lucknow
2023-10-05,27.3,31.5,24.0,0.0,9.2,24.5,34526.56,42518.81,Lucknow
2023-10-06,27.6,33.0,22.8,0.0,8.0,14.4,39317.75,42426.33,Lucknow
2023-10-07,27.9,33.2,23.0,0.0,9.3,20.5,39253.31,42333.57,Lucknow
2023-10-08,28.5,34.8,23.2,0.0,14.7,27.0,39188.84,42240.58,Lucknow
2023-10-09,29.1,35.2,23.9,0.0,18.7,34.6,39124.41,42147.44,Lucknow
2023-10-10,29.0,35.4,24.8,0.0,14.0,25.2,39060.12,42054.22,Lucknow
2023-10-11,27.9,34.7,23.1,0.0,13.9,25.2,38996.06,41960.98,Lucknow
2023-10-12,26.8,34.0,20.5,0.0,14.8,26.6,38932.3,41867.8,Lucknow
2023-10-13,26.5,33.5,20.2,0.0,11.0,20.5,38868.93,41774.73,Lucknow
2023-10-14,27.3,34.5,21.4,0.0,15.1,28.8,38677.52,41681.86,Lucknow
2023-10-15,27.7,35.4,21.4,0.0,16.9,31.3,38237.06,41589.26,Lucknow
2023-10-16,26.0,33.7,21.3,6.7,14.3,28.1,33416.53,41496.99,Lucknow
2023-10-17,24.0,29.7,20.0,0.0,9.6,23.0,37375.47,41405.12,Lucknow
2023-10-18,24.4,30.5,20.0,0.0,11.3,24.1,37941.81,41313.74,Lucknow
2023-10-19,24.0,30.5,19.2,0.0,11.4,24.5,38041.3,41222.91,Lucknow
2023-10-20,23.7,30.1,18.0,0.0,11.2,23.8,37862.04,41132.71,Lucknow
2023-10-21,23.9,30.4,18.6,0.0,8.8,19.4,37548.73,41043.22,Lucknow
2023-10-22,24.2,30.5,18.9,0.0,9.1,20.2,37374.34,40954.52,Lucknow
2023-10-23,24.6,31.0,18.7,0.0,9.4,16.6,37068.95,40866.66,Lucknow
2023-10-24,24.2,30.4,18.8,0.0,8.1,19.4,36899.55,40779.76,Lucknow
2023-10-25,24.3,30.4,18.6,0.0,8.7,16.9,36472.44,40693.83,Lucknow
2023-10-26,24.3,31.3,18.9,0.0,11.7,23.8,36694.41,40608.21,Lucknow
2023-10-27,23.8,31.4,18.0,0.0,9.4,19.1,36655.62,40522.69,Lucknow
2023-10-28,23.9,31.1,16.6,0.0,8.7,17.6,35622.42,40437.34,Lucknow
2023-10-29,24.9,30.6,20.2,0.0,9.6,14.8,34378.21,40352.23,Lucknow
2023-10-30,24.0,30.4,17.4,0.0,8.0,14.8,36165.87,40267.46,Lucknow
2023-10-31,23.9,30.3,18.0,0.0,9.8,14.8,35498.35,40183.11,Lucknow
2023-11-01,24.8,30.5,19.8,0.0,9.2,14.4,35849.6,40099.24,Lucknow
2023-11-02,24.4,30.1,18.8,0.0,8.7,14.0,35754.61,40015.96,Lucknow
2023-11-03,23.5,30.2,18.2,0.0,9.6,18.7,35641.59,39933.36,Lucknow
2023-11-04,24.1,30.4,18.0,0.0,11.5,22.7,34359.14,39851.5,Lucknow
2023-11-05,23.6,30.1,18.0,0.0,12.2,24.8,35270.24,39770.48,Lucknow
2023-11-06,22.9,30.1,16.5,0.0,9.1,16.2,35346.22,39690.4,Lucknow
2023-11-07,22.9,29.6,16.5,0.0,11.2,23.0,35387.68,39611.35,Lucknow
2023-11-08,23.6,30.4,16.7,0.0,11.9,23.0,33943.82,39533.41,Lucknow
2023-11-09,23.4,31.0,17.8,0.0,14.7,27.0,34691.36,39456.68,Lucknow
2023-11-10,23.2,29.5,18.0,0.5,10.0,23.8,34297.39,39381.26,Lucknow
2023-11-11,22.0,27.0,19.0,1.8,13.4,30.6,20155.99,39307.24,Lucknow
2023-11-12,21.5,27.6,17.2,0.0,9.2,20.9,34164.14,39234.73,Lucknow
2023-11-13,21.1,27.6,15.2,0.0,9.4,13.7,34146.98,39163.82,Lucknow
2023-11-14,21.7,27.0,16.8,0.0,7.9,16.9,32867.1,39094.57,Lucknow
2023-11-15,20.6,27.3,14.8,0.0,9.2,14.8,34034.65,39026.33,Lucknow
2023-11-16,20.8,27.5,14.6,0.0,9.4,15.8,33861.19,38958.9,Lucknow
2023-11-17,21.5,27.9,15.6,0.0,9.2,18.0,33583.52,38892.35,Lucknow
2023-11-18,20.6,27.6,15.6,0.0,8.5,16.2,33721.34,38826.77,Lucknow
2023-11-19,21.7,28.1,14.9,0.0,8.5,16.6,33449.17,38762.22,Lucknow
2023-11-20,20.7,27.8,15.4,0.0,11.3,22.7,33450.21,38698.81,Lucknow
2023-11-21,20.3,26.9,15.4,0.0,14.3,27.0,33450.6,38636.61,Lucknow
2023-11-22,19.5,26.1,14.5,0.0,10.8,23.4,33450.32,38575.7,Lucknow
2023-11-23,19.4,25.6,13.1,0.0,8.7,14.8,33319.91,38516.17,Lucknow
2023-11-24,19.2,26.2,13.2,0.0,9.7,13.3,33192.09,38458.11,Lucknow
2023-11-25,19.7,26.5,13.2,0.0,10.1,15.5,33066.93,38401.61,Lucknow
2023-11-26,20.5,27.1,13.7,0.0,9.0,21.6,32944.55,38346.75,Lucknow
2023-11-27,19.5,23.4,16.5,0.1,10.4,22.0,388.35,38293.62,Lucknow
2023-11-28,20.1,26.7,14.5,0.0,10.5,23.4,32708.54,38242.3,Lucknow
2023-11-29,20.9,26.9,16.2,0.0,7.4,19.1,32595.07,38192.91,Lucknow
2023-11-30,20.1,24.7,17.4,3.0,11.8,22.7,27816.25,38145.52,Lucknow
2023-12-01,20.9,26.0,16.3,0.0,7.9,14.8,32400.0,38100.22,Lucknow
2023-12-02,20.9,26.6,15.4,0.0,9.0,20.5,32500.64,38057.1,Lucknow
2023-12-03,21.2,28.0,15.6,0.0,8.5,13.7,32619.38,38016.27,Lucknow
2023-12-04,19.4,23.0,17.0,9.1,17.9,31.0,11718.54,37977.77,Lucknow
2023-12-05,18.3,22.2,15.4,1.1,11.2,19.8,16041.0,37941.21,Lucknow
2023-12-06,19.6,26.0,14.1,0.0,8.0,12.2,29873.85,37906.42,Lucknow
2023-12-07,20.3,25.5,16.6,0.0,8.0,19.1,32400.0,37873.46,Lucknow
2023-12-08,19.2,25.4,14.4,0.0,12.0,23.4,29464.07,37842.35,Lucknow
2023-12-09,17.8,24.2,13.6,0.0,15.9,29.2,32442.0,37813.14,Lucknow
