time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,30.8,35.7,26.3,0.1,16.4,34.9,21453.61,45401.32
2023-07-24,29.5,35.4,25.8,0.9,18.5,40.3,22719.17,45380.86
2023-07-25,28.7,36.0,24.8,0.5,15.1,32.0,16420.75,45359.88
2023-07-26,30.2,36.2,25.2,0.2,12.1,25.6,33790.35,45338.41
2023-07-27,31.4,38.0,26.1,0.0,13.0,31.7,37715.68,45316.49
2023-07-28,32.1,39.3,26.2,0.2,19.7,40.0,38179.31,45294.13
2023-07-29,32.5,40.0,26.2,0.3,15.3,30.2,42125.37,45271.36
2023-07-30,32.2,39.5,26.1,0.1,21.6,41.0,41119.0,45248.21
2023-07-31,32.3,39.7,26.3,0.0,23.0,42.1,40689.02,45224.7
2023-08-01,32.4,40.1,26.3,0.2,22.9,43.6,39600.0,45200.85
2023-08-02,32.3,39.9,26.2,0.0,22.1,46.1,42536.75,45176.68
2023-08-03,32.0,40.8,25.2,0.0,20.1,37.1,42522.06,45152.23
2023-08-04,31.7,39.7,26.3,1.4,23.9,51.1,32252.21,45127.51
2023-08-05,32.8,40.0,26.8,0.0,23.5,48.2,40266.12,45102.55
2023-08-06,33.1,40.6,27.4,0.6,19.5,37.4,41249.68,45077.35
2023-08-07,32.5,39.9,27.1,0.6,14.7,29.9,41807.16,45051.73
2023-08-08,31.9,40.0,27.1,0.3,24.7,50.0,40967.61,45025.64
2023-08-09,32.3,39.8,26.5,2.9,14.0,40.0,38581.2,44999.12
2023-08-10,31.0,38.2,26.8,24.3,15.3,33.8,34705.48,44972.17
2023-08-11,28.8,37.0,24.2,22.7,23.1,47.5,27896.77,44944.84
2023-08-12,28.5,35.3,24.2,5.7,11.2,37.4,39318.76,44917.15
2023-08-13,29.9,37.0,24.6,0.0,19.7,35.3,41510.14,44889.13
2023-08-14,29.7,36.6,25.3,18.7,14.3,38.2,40827.88,44860.8
2023-08-15,29.9,36.5,24.8,1.4,14.9,38.9,42179.68,44832.18
2023-08-16,30.4,37.0,24.8,0.0,22.0,45.0,42255.97,44803.31
2023-08-17,31.8,40.2,25.6,0.0,18.2,38.9,41764.73,44774.21
2023-08-18,31.3,38.9,25.8,0.1,26.6,51.8,40827.8,44744.89
2023-08-19,31.5,39.4,25.6,0.3,25.4,51.1,42019.67,44715.4
2023-08-20,32.0,39.7,26.2,0.3,18.7,37.1,41354.46,44685.74
2023-08-21,32.1,39.8,26.6,2.6,16.6,31.3,40434.51,44655.95
