time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,26.3,27.8,25.5,34.8,28.1,55.4,8510.37,47149.5,Mumbai
2023-07-24,26.3,28.2,25.4,58.2,26.8,53.6,14400.0,47109.36,Mumbai
2023-07-25,26.0,27.3,25.3,44.1,21.1,40.7,2890.41,47068.23,Mumbai
2023-07-26,26.0,27.2,24.9,93.9,26.3,48.6,4411.59,47026.15,Mumbai
2023-07-27,26.1,27.3,25.4,90.9,22.0,48.2,0.0,46983.17,Mumbai
2023-07-28,25.9,27.2,25.1,49.8,21.7,44.6,3294.96,46939.34,Mumbai
2023-07-29,26.9,28.9,25.4,12.3,23.9,51.5,28182.94,46894.7,Mumbai
2023-07-30,27.2,28.9,25.8,9.3,25.6,52.9,36984.34,46849.31,Mumbai
2023-07-31,26.9,28.6,25.6,9.9,26.6,50.8,34292.22,46803.22,Mumbai
2023-08-01,27.1,29.0,25.4,6.1,25.3,50.0,39113.08,46756.46,Mumbai
2023-08-02,26.9,28.7,24.6,15.1,27.7,52.2,33531.6,46709.09,Mumbai
2023-08-03,27.2,28.9,26.0,6.3,27.2,52.9,36973.23,46661.15,Mumbai
2023-08-04,27.3,28.5,26.6,2.5,25.3,48.6,6247.46,46612.69,Mumbai
2023-08-05,27.5,29.4,25.8,3.8,23.7,47.5,34961.8,46563.74,Mumbai
2023-08-06,27.4,28.9,26.3,2.8,23.4,48.6,37867.54,46514.34,Mumbai
2023-08-07,27.4,29.1,26.0,2.2,26.9,51.8,39988.45,46464.12,Mumbai
2023-08-08,27.5,29.2,26.1,2.3,24.7,48.2,41015.65,46412.97,Mumbai
2023-08-09,27.4,29.2,25.8,3.0,20.2,42.1,38100.02,46360.96,Mumbai
2023-08-10,26.8,28.5,26.0,7.3,15.2,36.0,36845.23,46308.12,Mumbai
2023-08-11,27.4,29.1,25.6,3.7,15.9,33.1,41012.93,46254.54,Mumbai
2023-08-12,26.1,27.3,24.2,5.4,18.8,41.0,32336.64,46200.24,Mumbai
2023-08-13,27.3,29.3,25.5,5.0,24.7,48.2,38680.09,46145.29,Mumbai
2023-08-14,27.6,29.5,25.9,2.6,24.8,47.9,32510.45,46089.73,Mumbai
2023-08-15,27.1,28.3,26.3,3.5,18.7,36.7,22850.62,46033.61,Mumbai
2023-08-16,27.1,29.1,25.3,4.5,20.9,41.0,37595.13,45976.99,Mumbai
2023-08-17,27.0,29.4,25.1,3.5,20.7,41.0,41149.68,45919.9,Mumbai
2023-08-18,27.2,29.0,25.7,2.0,18.9,38.2,35497.35,45862.41,Mumbai
2023-08-19,27.0,28.8,25.7,4.1,19.5,38.9,25903.28,45804.55,Mumbai
2023-08-20,26.3,28.0,25.1,10.5,17.1,33.1,20474.64,45746.38,Mumbai
2023-08-21,26.6,28.8,24.7,3.8,16.3,35.3,38872.54,45687.92,Mumbai
2023-08-22,26.6,28.8,25.1,6.1,18.8,38.2,35053.1,45629.24,Mumbai
2023-08-23,27.3,29.5,25.3,3.8,21.1,41.4,40439.96,45570.37,Mumbai
2023-08-24,26.8,28.9,25.7,6.5,21.2,43.9,35302.13,45511.37,Mumbai
2023-08-25,26.8,28.6,25.0,6.2,19.5,43.9,39600.0,45452.26,Mumbai
2023-08-26,26.3,28.0,24.4,14.3,20.2,43.2,36719.72,45393.08,Mumbai
2023-08-27,25.8,27.9,24.2,15.1,16.6,39.2,30747.29,45333.43,Mumbai
2023-08-28,26.0,27.7,24.9,4.1,17.1,41.0,32658.92,45273.2,Mumbai
2023-08-29,26.7,28.8,25.0,3.6,11.1,28.1,39595.81,45212.44,Mumbai
2023-08-30,26.8,29.4,24.5,0.7,13.8,31.0,40443.91,45151.2,Mumbai
2023-08-31,27.3,30.2,24.8,0.7,15.2,32.4,40031.4,45089.51,Mumbai
2023-09-01,27.3,30.6,24.2,1.2,18.8,34.9,40719.71,45027.43,Mumbai
2023-09-02,26.7,28.8,25.0,2.6,12.3,27.4,18358.5,44965.0,Mumbai
2023-09-03,27.0,29.2,25.2,10.0,17.6,35.3,34415.91,44902.26,Mumbai
2023-09-04,27.0,29.6,24.0,2.2,17.7,35.6,40439.28,44839.25,Mumbai
2023-09-05,27.1,29.3,24.8,2.4,17.2,35.6,40661.21,44776.02,Mumbai
2023-09-06,27.9,30.0,26.1,1.0,17.7,35.3,41153.74,44712.61,Mumbai
2023-09-07,27.2,28.4,25.1,10.2,19.7,40.3,17276.98,44649.07,Mumbai
2023-09-08,26.8,28.2,25.8,50.6,22.7,43.9,2982.65,44585.43,Mumbai
2023-09-09,27.1,29.1,25.7,15.9,18.1,36.7,24072.84,44521.72,Mumbai
2023-09-10,27.2,29.2,25.7,5.5,18.4,36.7,34800.61,44458.0,Mumbai
2023-09-11,26.5,28.9,25.1,4.7,14.4,32.4,31915.12,44394.3,Mumbai
2023-09-12,27.1,29.3,24.7,4.7,19.1,38.2,41105.98,44330.66,Mumbai
2023-09-13,26.6,28.5,25.1,3.6,12.8,28.1,39199.08,44267.12,Mumbai
2023-09-14,26.7,28.9,24.2,2.2,13.4,29.5,39336.5,44203.73,Mumbai
2023-09-15,27.3,29.4,24.9,2.1,16.6,32.8,36657.56,44140.49,Mumbai
2023-09-16,27.2,28.6,25.2,7.3,20.6,40.0,129.39,44077.02,Mumbai
2023-09-17,27.4,29.3,25.4,8.2,23.0,47.5,34570.59,44013.18,Mumbai
2023-09-18,26.0,27.3,24.7,30.9,22.2,45.7,29429.2,43949.03,Mumbai
