time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,26.6,30.1,24.0,26.3,14.8,28.8,20343.79,47566.65,Nagpur
2023-07-24,27.3,31.7,23.5,36.5,12.1,25.6,39970.46,47521.79,Nagpur
2023-07-25,27.8,31.8,24.4,2.6,14.0,30.6,42780.71,47475.82,Nagpur
2023-07-26,28.0,31.8,24.8,32.6,16.4,31.0,38139.06,47428.8,Nagpur
2023-07-27,27.0,31.7,24.8,49.5,18.0,35.6,37807.13,47380.76,Nagpur
2023-07-28,26.9,29.8,24.8,33.3,21.3,42.5,426.83,47331.78,Nagpur
2023-07-29,27.8,30.9,25.9,6.0,19.5,38.5,16524.75,47281.91,Nagpur
2023-07-30,27.6,31.9,24.9,1.1,19.1,41.0,17674.35,47231.19,Nagpur
2023-07-31,27.4,30.8,25.5,5.8,19.7,41.0,21545.49,47179.68,Nagpur
2023-08-01,28.3,31.8,25.6,1.2,22.0,46.4,38437.49,47127.45,Nagpur
2023-08-02,26.4,28.8,24.7,9.6,20.3,43.6,0.0,47074.52,Nagpur
2023-08-03,24.6,25.9,24.1,30.0,25.3,45.7,0.0,47020.96,Nagpur
2023-08-04,26.6,31.2,23.8,1.5,19.7,38.9,18426.75,46966.82,Nagpur
2023-08-05,27.4,31.4,24.4,1.5,19.6,43.9,40679.12,46912.14,Nagpur
2023-08-06,27.7,31.7,24.7,0.3,19.8,41.8,39747.95,46856.95,Nagpur
2023-08-07,27.1,30.4,24.9,0.1,20.3,42.5,40117.73,46800.85,Nagpur
2023-08-08,27.3,31.2,24.4,0.2,18.2,38.2,41460.94,46743.71,Nagpur
2023-08-09,27.2,31.6,23.6,2.1,17.6,38.2,33032.71,46685.61,Nagpur
2023-08-10,28.1,32.7,23.6,0.3,13.9,29.5,42903.22,46626.61,Nagpur
2023-08-11,27.9,31.8,24.6,0.7,14.5,29.9,41915.77,46566.75,Nagpur
2023-08-12,28.3,32.6,24.7,0.1,15.6,32.0,42667.84,46506.11,Nagpur
2023-08-13,27.6,31.2,24.5,0.7,14.5,30.6,39600.0,46444.73,Nagpur
2023-08-14,27.4,31.3,24.7,1.0,10.9,23.4,38342.62,46382.68,Nagpur
2023-08-15,27.2,30.8,24.4,1.9,13.0,27.7,40010.84,46320.01,Nagpur
2023-08-16,27.8,32.3,24.2,1.1,13.0,28.1,41751.43,46256.77,Nagpur
2023-08-17,27.8,33.0,25.2,15.8,15.3,33.1,27681.5,46193.03,Nagpur
2023-08-18,25.6,29.3,24.3,48.4,14.4,31.7,12845.47,46128.82,Nagpur
2023-08-19,25.3,28.0,23.8,33.4,16.2,33.5,11289.24,46064.21,Nagpur
2023-08-20,26.7,29.7,24.2,5.8,12.7,27.0,34922.39,45999.25,Nagpur
2023-08-21,27.0,30.7,24.3,1.9,14.6,29.2,38212.68,45933.98,Nagpur
2023-08-22,27.9,32.0,24.2,0.2,12.0,26.6,40599.59,45868.46,Nagpur
2023-08-23,27.2,30.6,24.7,21.7,15.0,34.2,33649.61,45802.73,Nagpur
2023-08-24,26.8,31.3,24.3,10.5,15.5,35.6,34386.91,45736.84,Nagpur
2023-08-25,27.5,30.7,24.5,0.8,17.8,35.3,35993.16,45670.85,Nagpur
2023-08-26,27.9,31.9,24.4,0.2,15.2,31.0,42210.81,45604.77,Nagpur
2023-08-27,27.6,31.9,24.1,0.0,13.9,29.5,42162.44,45538.16,Nagpur
2023-08-28,26.8,31.3,22.9,0.0,14.4,28.8,42093.41,45470.93,Nagpur
2023-08-29,26.5,31.4,22.0,1.4,15.4,33.1,39114.73,45403.09,Nagpur
2023-08-30,27.0,31.7,23.4,0.4,12.7,27.4,40625.03,45334.71,Nagpur
2023-08-31,27.8,32.8,23.7,0.2,10.7,25.9,40237.47,45265.84,Nagpur
2023-09-01,28.5,33.5,24.4,0.6,13.9,25.2,41141.68,45196.53,Nagpur
2023-09-02,28.7,33.8,25.2,5.9,11.0,25.6,28800.0,45126.83,Nagpur
2023-09-03,27.4,32.7,25.2,3.6,14.1,27.4,22077.66,45056.78,Nagpur
2023-09-04,28.4,34.2,24.8,1.7,16.9,40.7,39521.11,44986.44,Nagpur
2023-09-05,27.6,32.7,24.7,19.0,18.9,42.5,36000.0,44915.85,Nagpur
2023-09-06,26.2,29.9,24.0,7.2,10.1,21.2,31426.2,44845.06,Nagpur
2023-09-07,26.1,29.9,24.1,18.0,8.7,19.1,24444.66,44774.12,Nagpur
2023-09-08,26.1,29.6,23.9,13.3,14.8,25.9,27170.02,44703.06,Nagpur
2023-09-09,26.2,30.1,23.9,9.9,12.3,28.1,31450.51,44631.94,Nagpur
2023-09-10,26.4,29.4,24.0,11.2,17.9,33.8,26528.27,44560.8,Nagpur
2023-09-11,27.4,31.8,24.8,0.8,19.7,41.0,28526.41,44489.69,Nagpur
2023-09-12,27.1,31.4,24.7,1.5,19.9,42.5,20455.18,44418.64,Nagpur
2023-09-13,26.5,30.4,24.7,21.8,17.1,37.1,19618.07,44347.71,Nagpur
2023-09-14,26.0,30.3,23.8,40.5,17.4,32.8,18473.95,44276.93,Nagpur
2023-09-15,24.8,25.8,24.1,50.5,32.5,59.0,0.0,44206.32,Nagpur
2023-09-16,26.2,30.2,24.0,0.5,23.0,46.4,33789.93,44135.45,Nagpur
2023-09-17,26.7,30.7,23.2,0.5,15.7,31.7,39871.38,44064.18,Nagpur
2023-09-18,26.9,31.5,22.7,0.0,10.3,25.2,39600.0,43992.56,Nagpur
2023-09-19,27.6,31.9,22.6,0.0,8.4,21.2,39600.0,43920.63,Nagpur
2023-09-20,26.6,31.5,24.5,5.2,14.1,29.5,23772.46,43848.44,Nagpur
2023-09-21,25.6,30.0,23.6,18.0,14.3,36.7,21643.99,43776.04,Nagpur
2023-09-22,25.7,29.2,24.1,16.6,9.8,24.1,10263.12,43703.48,Nagpur
2023-09-23,25.3,28.2,23.3,39.5,11.2,20.5,768.41,43630.79,Nagpur
2023-09-24,26.9,30.9,23.2,6.9,15.6,42.8,34207.66,43558.04,Nagpur
2023-09-25,27.0,31.8,23.3,0.5,10.7,22.7,27753.3,43485.25,Nagpur
2023-09-26,26.8,30.7,24.2,2.0,12.5,26.3,26677.78,43412.49,Nagpur
2023-09-27,26.8,30.2,23.0,0.5,7.9,21.6,28029.94,43339.79,Nagpur
2023-09-28,27.6,31.9,23.6,0.0,11.6,20.2,38027.01,43267.2,Nagpur
2023-09-29,26.1,29.5,23.9,17.6,12.0,27.0,29666.53,43194.76,Nagpur
2023-09-30,26.4,31.0,23.4,6.5,11.1,31.7,35911.48,43122.53,Nagpur
2023-10-01,27.7,32.5,24.0,0.2,12.5,26.3,37937.31,43050.54,Nagpur
2023-10-02,27.7,32.2,23.2,4.7,14.8,29.5,31074.48,42978.86,Nagpur
2023-10-03,28.1,33.1,23.5,0.0,19.1,44.3,37557.17,42907.51,Nagpur
2023-10-04,26.3,33.1,21.3,0.0,16.4,31.7,39600.0,42836.55,Nagpur
2023-10-05,26.2,33.5,20.1,0.0,17.9,33.8,39600.0,42766.0,Nagpur
2023-10-06,26.0,33.4,19.9,0.0,15.0,29.9,39600.0,42695.39,Nagpur
2023-10-07,27.4,33.6,22.4,0.0,12.7,24.1,39600.0,42624.56,Nagpur
2023-10-08,28.2,34.4,23.9,0.0,12.5,23.4,39600.0,42553.57,Nagpur
2023-10-09,27.9,34.3,22.8,0.0,12.0,26.6,39600.0,42482.48,Nagpur
2023-10-10,28.2,34.5,22.4,0.0,12.5,22.3,39600.0,42411.33,Nagpur
2023-10-11,28.3,34.4,22.6,0.0,10.8,24.8,39600.0,42340.18,Nagpur
2023-10-12,27.4,33.5,21.0,0.0,9.4,21.6,37004.36,42269.07,Nagpur
2023-10-13,27.3,34.0,21.6,0.0,13.4,25.6,39579.81,42198.07,Nagpur
2023-10-14,27.0,33.6,20.6,0.0,9.9,20.9,39512.23,42127.23,Nagpur
2023-10-15,26.8,31.0,22.1,1.0,10.1,22.7,38890.54,42056.59,Nagpur
2023-10-16,27.4,32.6,21.5,0.3,7.1,18.4,39365.4,41986.23,Nagpur
2023-10-17,26.9,32.8,21.6,0.0,7.4,13.3,39292.3,41916.18,Nagpur
2023-10-18,27.0,32.6,22.2,0.0,8.9,19.4,39219.5,41846.51,Nagpur
2023-10-19,26.6,31.5,22.6,0.0,11.2,20.2,39147.03,41777.27,Nagpur
2023-10-20,25.9,31.7,21.4,0.3,12.6,27.4,39074.98,41708.53,Nagpur
2023-10-21,25.8,31.9,20.0,0.0,11.8,24.1,39003.41,41640.33,Nagpur
2023-10-22,25.4,32.6,19.1,0.0,13.9,28.4,38932.38,41572.74,Nagpur
2023-10-23,25.4,31.2,19.9,0.0,15.5,32.4,38861.96,41505.82,Nagpur
2023-10-24,24.9,31.4,19.2,0.0,14.1,29.2,38792.21,41439.63,Nagpur
