time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,32.2,36.1,28.4,0.0,21.4,42.1,44274.24,48536.98
2023-07-24,32.0,36.1,28.6,0.0,15.9,30.2,41425.84,48481.07
2023-07-25,31.7,34.9,28.5,0.0,17.2,34.6,43250.98,48423.79
2023-07-26,32.2,36.2,28.3,0.0,18.8,34.9,44478.3,48365.18
2023-07-27,31.6,35.7,26.9,1.8,19.9,38.9,42499.64,48305.34
2023-07-28,32.0,35.5,28.3,1.6,16.9,31.0,44039.98,48244.33
2023-07-29,30.5,34.4,28.6,2.2,15.1,33.8,25247.09,48182.2
2023-07-30,29.1,32.0,26.4,18.4,10.8,22.3,23800.76,48119.04
2023-07-31,30.9,35.2,27.0,6.2,11.2,22.7,39600.0,48054.9
2023-08-01,30.0,34.9,26.8,32.4,12.3,22.0,34864.36,47989.86
2023-08-02,30.3,34.0,26.5,9.6,30.6,58.3,42059.16,47923.96
2023-08-03,29.5,32.8,26.8,3.5,30.6,56.2,30738.69,47857.29
2023-08-04,30.1,33.6,27.3,2.7,23.5,42.8,39450.36,47789.89
2023-08-05,29.4,32.8,27.0,4.3,14.0,27.7,29906.93,47721.84
2023-08-06,28.7,31.3,26.9,23.8,14.1,23.8,27441.11,47653.17
2023-08-07,27.2,29.5,26.1,42.0,16.4,28.1,0.0,47583.36
2023-08-08,27.8,30.1,25.9,17.5,14.4,26.6,0.0,47512.28
2023-08-09,27.7,30.5,25.9,48.5,24.9,45.0,11156.46,47440.0
2023-08-10,28.6,32.4,25.8,6.9,18.5,34.9,31329.95,47366.6
2023-08-11,28.7,31.7,26.1,4.2,19.4,36.0,24787.56,47292.16
2023-08-12,29.7,33.4,26.3,7.1,22.5,43.6,28760.64,47216.74
2023-08-13,29.3,32.6,27.2,0.8,16.3,31.0,12455.38,47140.42
2023-08-14,29.0,33.1,26.2,0.8,15.1,27.0,32650.4,47063.27
2023-08-15,29.9,34.0,26.6,1.5,14.4,27.7,40526.29,46985.35
2023-08-16,30.4,34.3,26.4,0.3,14.9,29.5,36160.56,46906.74
2023-08-17,29.2,33.5,26.3,17.8,13.2,26.3,27724.97,46827.51
2023-08-18,29.2,32.9,26.6,7.2,17.5,30.6,28359.15,46747.71
2023-08-19,30.4,33.7,27.4,0.6,23.8,42.8,41621.25,46667.41
2023-08-20,30.5,34.0,27.4,0.7,17.9,33.8,40961.11,46586.68
2023-08-21,29.9,33.3,27.5,5.7,12.2,25.6,26950.3,46505.58
2023-08-22,29.2,32.7,26.7,16.0,12.0,22.3,26538.55,46424.18
