time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration,city
2023-07-23,24.0,26.3,22.9,8.4,28.7,54.4,9280.84,47036.53,Pune
2023-07-24,24.3,26.6,23.2,11.5,28.7,55.8,27967.16,46997.67,Pune
2023-07-25,23.9,25.7,23.0,13.1,23.8,45.0,3026.18,46957.85,Pune
2023-07-26,23.9,26.1,22.6,22.4,24.8,50.4,8669.04,46917.11,Pune
2023-07-27,23.4,25.0,22.4,23.5,26.4,47.9,705.34,46875.49,Pune
2023-07-28,23.6,26.2,22.4,7.6,28.4,54.0,5366.49,46833.04,Pune
2023-07-29,23.5,25.4,22.2,1.6,26.4,49.3,4716.3,46789.83,Pune
2023-07-30,24.3,27.1,22.7,3.4,27.9,55.4,35609.7,46745.88,Pune
2023-07-31,24.5,27.6,23.0,2.4,27.1,55.4,33913.98,46701.25,Pune
2023-08-01,24.6,27.2,23.2,2.1,30.5,59.8,37552.09,46655.98,Pune
2023-08-02,24.1,26.9,22.6,1.0,30.6,58.3,35997.03,46610.11,Pune
2023-08-03,24.2,26.5,23.0,1.9,34.2,63.7,27014.73,46563.69,Pune
2023-08-04,24.4,27.5,22.9,1.4,30.7,59.0,18885.21,46516.76,Pune
2023-08-05,24.6,27.2,23.0,2.5,28.4,56.9,35176.25,46469.37,Pune
2023-08-06,24.5,27.4,22.9,0.9,29.8,58.7,39600.0,46421.53,Pune
2023-08-07,24.6,28.1,22.8,0.3,29.9,57.2,37509.21,46372.9,Pune
2023-08-08,24.7,28.1,22.8,1.0,26.3,50.8,32400.0,46323.38,Pune
2023-08-09,24.8,28.3,22.5,1.3,24.1,47.9,36000.0,46273.01,Pune
2023-08-10,24.7,28.0,22.5,2.0,23.1,47.2,41585.34,46221.85,Pune
2023-08-11,24.6,28.6,21.6,1.2,19.7,38.9,40689.25,46169.96,Pune
2023-08-12,24.3,28.4,21.5,1.3,24.5,48.2,39694.95,46117.38,Pune
2023-08-13,24.4,27.5,22.0,1.6,25.3,50.4,41726.81,46064.17,Pune
2023-08-14,24.8,28.5,22.5,0.9,23.6,46.8,37905.62,46010.36,Pune
2023-08-15,24.6,28.2,22.0,0.8,22.3,44.6,39070.69,45956.02,Pune
2023-08-16,24.8,29.1,21.9,0.7,23.1,45.4,40542.47,45901.19,Pune
2023-08-17,24.4,28.1,21.7,0.1,24.6,47.2,40821.27,45845.91,Pune
2023-08-18,24.4,29.1,22.1,0.0,23.6,46.8,29389.08,45790.23,Pune
2023-08-19,24.4,28.6,22.4,1.0,24.6,48.2,22937.29,45734.21,Pune
2023-08-20,24.3,27.3,22.4,1.6,23.9,46.8,37672.16,45677.87,Pune
2023-08-21,24.5,28.6,21.8,1.1,23.3,46.1,40398.95,45621.26,Pune
2023-08-22,24.4,28.8,21.4,3.8,22.7,43.2,37669.5,45564.44,Pune
2023-08-23,24.6,28.7,21.3,0.2,22.9,45.4,41557.54,45507.43,Pune
2023-08-24,24.9,28.8,22.1,1.3,24.3,48.2,39600.0,45450.29,Pune
2023-08-25,25.0,28.8,22.9,2.0,22.8,46.4,41943.01,45393.05,Pune
2023-08-26,25.0,28.6,22.6,1.4,25.3,50.4,40269.88,45335.73,Pune
2023-08-27,24.6,28.5,22.4,2.4,24.5,50.8,42582.18,45277.97,Pune
2023-08-28,24.5,29.0,22.0,2.1,22.8,45.7,38850.38,45219.64,Pune
2023-08-29,24.9,29.2,21.9,1.3,17.9,36.7,40832.98,45160.8,Pune
2023-08-30,25.1,30.8,20.7,0.0,15.2,30.2,40524.61,45101.49,Pune
2023-08-31,25.6,30.7,21.6,1.1,14.8,28.8,42042.46,45041.75,Pune
2023-09-01,26.1,32.5,22.1,5.0,14.0,27.4,40429.77,44981.64,Pune
2023-09-02,25.3,30.5,22.5,2.5,16.2,37.4,39810.46,44921.18,Pune
2023-09-03,24.9,29.9,22.0,9.4,15.1,35.3,39267.08,44860.41,Pune
2023-09-04,24.7,29.9,21.9,0.9,17.5,38.5,37532.67,44799.4,Pune
2023-09-05,25.0,30.0,20.8,0.3,16.9,33.5,41361.75,44738.17,Pune
2023-09-06,24.9,29.6,21.3,0.9,21.5,43.9,42013.88,44676.77,Pune
2023-09-07,24.4,28.1,22.5,3.4,26.0,52.2,25980.67,44615.22,Pune
2023-09-08,24.0,27.9,22.4,24.2,26.7,51.1,8510.47,44553.59,Pune
2023-09-09,24.6,27.5,23.1,7.5,25.1,48.6,33896.91,44491.89,Pune
2023-09-10,24.8,28.1,22.6,1.1,25.2,49.3,36245.6,44430.19,Pune
2023-09-11,24.8,28.5,22.4,1.2,24.2,46.4,35377.91,44368.51,Pune
2023-09-12,24.3,29.0,21.4,3.3,22.0,42.8,41757.7,44306.88,Pune
2023-09-13,24.6,28.7,21.9,1.1,20.5,39.6,38330.69,44245.35,Pune
2023-09-14,24.7,29.2,21.9,0.8,20.2,41.0,38032.36,44183.96,Pune
2023-09-15,24.6,29.0,21.1,0.4,21.3,42.1,36811.83,44122.72,Pune
2023-09-16,24.3,26.7,22.8,0.0,26.9,51.1,6702.98,44061.25,Pune
2023-09-17,24.4,27.2,22.9,2.3,27.6,53.6,32930.18,43999.43,Pune
2023-09-18,24.6,28.3,22.2,3.0,25.8,52.2,38881.48,43937.31,Pune
2023-09-19,24.9,28.7,22.5,1.6,22.9,46.4,35973.12,43874.93,Pune
2023-09-20,25.4,29.3,23.4,2.3,20.6,41.4,33160.7,43812.32,Pune
2023-09-21,25.3,30.2,23.6,18.5,14.5,33.5,25928.46,43749.53,Pune
2023-09-22,24.2,27.7,23.2,33.4,14.5,27.7,3089.07,43686.6,Pune
2023-09-23,23.9,27.9,22.6,32.1,12.3,30.6,12425.63,43623.57,Pune
2023-09-24,24.0,27.9,21.9,7.9,14.5,33.1,33576.5,43560.48,Pune
2023-09-25,24.4,29.0,21.8,5.8,14.3,32.4,38288.03,43497.36,Pune
2023-09-26,24.7,29.7,21.9,14.5,13.3,29.2,36929.02,43434.27,Pune
2023-09-27,23.9,28.3,21.8,33.6,9.8,31.7,20614.05,43371.23,Pune
2023-09-28,24.7,29.3,22.0,11.2,14.0,33.1,33415.03,43308.29,Pune
2023-09-29,24.4,29.7,21.5,19.9,14.8,31.3,32861.23,43245.48,Pune
2023-09-30,24.3,29.0,21.8,9.6,16.4,36.4,24496.23,43182.86,Pune
2023-10-01,23.9,28.0,21.7,14.1,20.6,40.7,19765.98,43120.45,Pune
2023-10-02,24.4,28.1,21.8,0.0,17.3,34.9,22886.68,43058.3,Pune
2023-10-03,25.0,30.2,21.1,0.2,13.4,27.4,34289.64,42996.45,Pune
2023-10-04,25.3,30.1,21.8,0.0,13.1,23.4,34641.57,42934.94,Pune
2023-10-05,25.0,30.4,20.8,0.0,9.0,17.3,35863.12,42873.79,Pune
2023-10-06,24.7,30.2,20.5,0.0,9.8,18.4,35371.48,42812.59,Pune
2023-10-07,25.4,30.8,21.1,0.0,8.8,19.4,36419.32,42751.2,Pune
2023-10-08,25.6,31.0,20.8,0.0,8.2,19.1,37300.3,42689.68,Pune
2023-10-09,25.7,31.2,20.8,0.0,6.5,14.8,38370.49,42628.07,Pune
2023-10-10,25.9,31.7,20.6,0.0,9.7,20.5,39075.21,42566.41,Pune
2023-10-11,25.6,30.4,20.9,0.0,10.9,24.8,38562.63,42504.76,Pune
2023-10-12,26.0,31.5,21.5,0.5,10.3,24.5,37743.96,42443.15,Pune
2023-10-13,26.0,32.3,20.6,0.0,12.7,27.7,38736.18,42381.64,Pune
2023-10-14,25.6,31.8,20.6,0.0,12.1,22.7,37878.78,42320.26,Pune
2023-10-15,26.0,31.2,21.1,0.0,7.9,19.8,38707.3,42259.07,Pune
2023-10-16,26.2,31.3,21.7,0.5,12.6,28.1,38201.26,42198.12,Pune
2023-10-17,26.3,31.2,20.8,0.2,8.4,20.9,38587.07,42137.45,Pune
2023-10-18,26.5,31.1,21.7,0.0,12.7,28.8,38369.0,42077.1,Pune
2023-10-19,25.7,31.1,21.4,1.0,13.7,26.6,38349.36,42017.14,Pune
2023-10-20,25.3,30.7,21.5,1.9,12.0,25.6,32672.86,41957.61,Pune
2023-10-21,26.2,30.8,21.3,0.5,11.3,26.6,37937.6,41898.55,Pune
2023-10-22,26.7,32.0,22.5,0.0,14.8,30.2,37679.98,41840.03,Pune
2023-10-23,26.1,31.8,19.6,0.0,10.2,25.2,36784.99,41782.09,Pune
2023-10-24,26.6,31.6,21.9,0.0,10.3,24.8,38242.22,41724.79,Pune
2023-10-25,25.9,31.3,21.1,0.0,11.0,25.9,38218.87,41668.14,Pune
2023-10-26,24.9,30.4,19.8,0.0,14.0,31.7,38197.2,41611.71,Pune
2023-10-27,24.4,30.5,18.9,0.0,15.1,33.1,38177.3,41555.36,Pune
2023-10-28,24.4,30.5,19.0,0.0,10.9,25.2,38145.06,41499.13,Pune
2023-10-29,24.2,31.0,17.8,0.0,14.4,28.4,38119.27,41443.08,Pune
2023-10-30,25.0,31.4,20.1,0.0,13.6,28.1,38092.91,41387.27,Pune
2023-10-31,24.6,30.9,19.3,0.0,14.3,31.3,38065.98,41331.75,Pune
2023-11-01,24.1,30.7,18.3,0.0,11.3,27.7,38038.51,41276.57,Pune
2023-11-02,24.8,30.8,19.7,0.0,11.1,23.4,38010.49,41221.79,Pune
2023-11-03,25.2,31.3,20.2,0.0,12.0,28.1,37900.47,41167.45,Pune
2023-11-04,25.3,31.1,20.3,0.0,14.8,32.4,37894.77,41113.64,Pune
2023-11-05,25.9,31.7,19.6,0.0,13.7,30.6,36107.15,41060.39,Pune
2023-11-06,24.8,31.7,19.6,0.0,15.1,33.1,36703.23,41007.77,Pune
2023-11-07,25.6,31.4,19.8,0.0,15.5,27.7,37406.73,40955.84,Pune
2023-11-08,25.3,30.4,21.6,1.6,16.7,36.0,36938.93,40904.66,Pune
2023-11-09,24.2,30.7,19.8,9.5,15.0,34.9,36938.41,40854.29,Pune
2023-11-10,24.1,30.1,20.3,2.5,13.7,32.8,35171.97,40804.79,Pune
2023-11-11,25.2,31.2,19.6,0.0,14.1,32.4,34911.66,40756.22,Pune
2023-11-12,24.8,31.4,19.5,0.0,13.4,31.7,37046.17,40708.66,Pune
2023-11-13,24.6,30.7,19.7,0.0,7.7,20.9,36932.38,40662.16,Pune
2023-11-14,24.4,30.4,19.8,0.0,10.4,19.4,37257.66,40616.76,Pune
2023-11-15,23.7,29.5,17.0,0.0,10.1,24.5,37250.81,40572.04,Pune
2023-11-16,23.0,29.6,17.7,0.0,9.8,24.8,37136.51,40527.86,Pune
2023-11-17,23.6,29.7,18.1,0.0,11.3,26.3,37129.55,40484.26,Pune
2023-11-18,23.7,30.6,17.1,0.0,10.0,18.7,37017.91,40441.32,Pune
2023-11-19,24.7,31.6,17.6,0.0,8.7,22.0,36703.6,40399.07,Pune
2023-11-20,25.0,31.2,20.0,0.0,12.8,29.2,36397.83,40357.56,Pune
2023-11-21,24.5,30.2,19.1,0.0,14.3,31.3,36696.94,40316.86,Pune
2023-11-22,23.9,30.1,18.8,0.0,10.5,26.3,36692.72,40277.02,Pune
2023-11-23,24.3,30.7,18.7,0.0,9.5,21.2,36591.94,40238.1,Pune
2023-11-24,24.4,31.2,18.9,0.4,14.6,30.6,36305.62,40200.14,Pune
2023-11-25,24.2,30.0,18.7,1.9,14.3,31.3,33795.11,40163.21,Pune
2023-11-26,23.6,30.5,20.0,25.0,16.6,37.1,28594.67,40127.36,Pune
2023-11-27,23.2,28.5,19.3,2.4,14.3,29.5,32441.75,40092.65,Pune
2023-11-28,23.2,28.9,19.4,0.3,11.8,25.9,33729.41,40059.14,Pune
2023-11-29,23.1,29.2,18.9,0.3,8.7,21.2,26975.35,40026.89,Pune
2023-11-30,22.9,29.7,18.0,0.3,13.3,29.9,34899.24,39995.95,Pune
2023-12-01,22.9,29.6,17.4,0.3,8.3,18.4,34818.94,39966.38,Pune
2023-12-02,24.3,30.6,18.7,0.3,16.3,34.9,36065.8,39938.25,Pune
2023-12-03,24.2,30.2,18.8,0.0,14.9,33.1,36069.43,39911.61,Pune
2023-12-04,24.6,30.9,18.9,0.0,13.7,29.2,36000.0,39886.5,Pune
2023-12-05,23.9,30.2,18.3,0.0,10.2,25.6,36000.0,39862.66,Pune
2023-12-06,23.0,28.5,19.2,0.5,10.8,25.9,32400.0,39839.98,Pune
2023-12-07,22.3,27.9,17.7,0.5,8.7,22.7,36000.0,39818.48,Pune
2023-12-08,22.7,28.6,17.7,0.3,8.6,23.4,36000.0,39798.21,Pune
2023-12-09,23.2,29.5,17.5,0.0,10.5,25.9,36000.0,39779.18,Pune
2023-12-10,22.7,29.7,17.1,0.0,11.0,26.6,36000.0,39761.41,Pune
2023-12-11,23.5,29.8,18.2,0.0,9.5,22.7,36000.0,39744.93,Pune
2023-12-12,23.1,29.7,17.0,0.0,10.5,20.5,36000.0,39729.77,Pune
2023-12-13,22.4,29.4,15.9,0.0,13.1,26.3,36000.0,39715.94,Pune
2023-12-14,22.0,28.4,16.3,0.0,13.3,30.2,36000.0,39703.46,Pune
2023-12-15,21.4,27.7,16.1,0.0,14.0,31.3,36000.0,39692.38,Pune
2023-12-16,21.1,27.8,15.8,0.0,13.0,30.6,36000.0,39682.7,Pune
2023-12-17,21.6,27.8,15.6,0.0,14.5,32.0,36000.0,39674.45,Pune
2023-12-18,21.9,27.3,17.2,0.0,19.4,40.3,36000.0,39667.65,Pune
2023-12-19,21.6,26.7,17.9,0.0,16.6,36.0,36000.0,39662.31,Pune
2023-12-20,20.5,27.6,14.5,0.0,14.8,32.4,36000.0,39658.48,Pune
2023-12-21,21.9,29.7,15.9,0.0,10.6,25.6,36000.0,39656.15,Pune
2023-12-22,22.4,30.0,16.2,0.0,9.2,18.4,36000.0,39655.36,Pune
2023-12-23,21.7,29.7,14.7,0.0,12.1,24.5,36027.03,39656.12,Pune
2023-12-24,22.0,29.5,16.6,0.0,12.3,26.3,36000.0,39658.45,Pune
2023-12-25,22.0,29.9,15.3,0.0,11.2,23.8,36022.19,39662.38,Pune
2023-12-26,22.9,30.9,17.2,0.0,10.6,21.2,36019.2,39667.89,Pune
2023-12-27,22.9,30.4,17.0,0.0,12.1,28.1,36081.86,39674.96,Pune
2023-12-28,22.5,30.3,16.1,0.0,11.3,24.5,36080.29,39683.57,Pune
2023-12-29,22.4,30.1,17.1,0.0,11.5,24.8,36148.81,39693.67,Pune
2023-12-30,21.8,30.0,14.7,0.0,10.0,20.5,36148.65,39705.26,Pune
2023-12-31,23.3,30.5,16.7,0.0,11.1,27.4,36148.07,39718.29,Pune
2024-01-01,22.6,29.8,16.8,0.0,10.1,22.0,36147.04,39732.74,Pune
2024-01-02,22.5,30.3,16.2,0.0,10.6,24.8,36137.47,39748.59,Pune
2024-01-03,22.9,30.1,16.9,0.0,7.6,20.9,36197.84,39765.8,Pune
2024-01-04,22.4,30.4,16.2,0.0,13.0,27.0,36263.11,39784.35,Pune
2024-01-05,21.7,29.9,14.2,0.0,13.2,26.3,35937.37,39804.2,Pune
2024-01-06,22.6,29.5,16.3,0.0,10.2,26.6,36232.47,39825.33,Pune
2024-01-07,23.2,29.9,17.6,0.8,13.0,31.7,34207.29,39847.71,Pune
2024-01-08,23.6,30.1,17.8,0.2,15.4,35.3,35893.62,39871.3,Pune
2024-01-09,22.7,28.5,18.4,1.0,16.3,35.6,33637.75,39896.09,Pune
2024-01-10,21.2,28.7,17.1,3.1,9.8,27.7,34076.58,39922.03,Pune
2024-01-11,22.8,29.0,17.2,0.0,10.4,18.4,36267.98,39949.1,Pune
2024-01-12,23.1,29.6,18.0,0.0,11.6,22.7,36558.07,39977.26,Pune
2024-01-13,23.6,30.1,18.1,0.0,11.2,18.4,36657.71,40006.52,Pune
