time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,21.5,24.7,19.4,9.4,9.7,24.5,16536.36,48521.21
2023-07-24,21.6,24.8,18.6,4.3,9.0,20.5,28701.84,48465.48
2023-07-25,21.5,25.4,18.4,12.5,7.2,20.5,30693.95,48408.38
2023-07-26,21.6,25.6,19.5,3.8,11.9,29.5,25257.57,48349.98
2023-07-27,21.7,25.2,20.0,3.4,13.0,33.8,27233.46,48290.32
2023-07-28,21.8,25.0,19.8,13.7,12.5,30.2,16715.63,48229.51
2023-07-29,21.7,25.0,19.8,2.5,10.7,28.8,25615.35,48167.58
2023-07-30,22.1,25.8,18.4,7.4,7.3,20.9,40723.63,48104.62
2023-07-31,22.8,26.3,19.1,4.3,10.4,27.7,39357.32,48040.69
2023-08-01,23.2,27.2,19.8,3.5,16.6,41.0,41026.83,47975.85
2023-08-02,22.3,25.9,20.2,1.4,19.4,42.5,32714.03,47910.17
2023-08-03,21.9,24.7,19.9,1.9,16.1,35.6,25301.04,47843.71
2023-08-04,21.7,25.3,20.2,4.2,14.2,32.8,13396.0,47776.54
2023-08-05,21.8,25.1,20.0,4.1,14.4,37.8,32723.05,47708.7
2023-08-06,21.4,23.0,20.1,9.7,13.4,32.4,985.4,47640.24
2023-08-07,21.2,23.6,19.9,18.1,11.6,28.8,0.0,47570.66
2023-08-08,21.5,24.2,19.6,18.1,18.1,41.0,32144.68,47499.8
2023-08-09,21.3,24.4,19.3,13.6,9.1,20.2,17583.24,47427.75
2023-08-10,21.4,25.0,18.9,8.6,8.3,20.9,25427.01,47354.59
2023-08-11,21.5,24.3,19.3,1.7,12.2,27.7,28076.16,47280.38
2023-08-12,21.3,23.7,19.8,35.7,14.2,36.0,8507.14,47205.21
2023-08-13,21.0,23.5,19.1,26.0,13.4,30.2,14655.42,47129.13
2023-08-14,21.3,24.6,17.8,7.4,7.7,19.4,33114.31,47052.22
2023-08-15,21.7,24.9,18.5,3.6,7.9,19.1,32156.98,46974.55
2023-08-16,21.7,26.0,19.3,11.9,7.3,19.8,31852.91,46896.2
2023-08-17,22.2,25.2,18.7,4.1,10.9,27.0,35009.99,46817.21
2023-08-18,22.2,25.4,19.2,2.0,9.4,22.3,42415.09,46737.66
2023-08-19,21.9,25.2,19.6,2.2,11.7,29.5,30722.76,46657.62
2023-08-20,22.2,25.5,19.7,0.4,9.3,23.0,35832.07,46577.15
2023-08-21,21.6,24.9,19.5,1.2,9.5,22.0,19996.24,46496.31
2023-08-22,20.3,22.3,18.8,6.0,10.9,25.6,379.18,46415.16
2023-08-23,20.8,23.3,18.8,3.6,9.0,23.4,31353.77,46333.76
2023-08-24,20.9,23.0,19.2,2.5,10.4,24.8,8766.58,46252.17
2023-08-25,21.3,23.7,19.2,2.6,10.7,28.8,19483.71,46170.45
2023-08-26,21.0,23.3,20.0,15.8,10.6,28.1,118.97,46088.64
2023-08-27,21.2,23.9,19.7,5.9,14.8,38.9,11908.59,46006.18
2023-08-28,21.2,25.5,17.8,0.7,12.7,27.4,32012.88,45922.93
2023-08-29,21.1,25.1,16.9,1.1,7.6,20.5,42754.64,45838.96
2023-08-30,21.6,25.0,17.7,3.0,7.9,21.6,42695.47,45754.31
2023-08-31,21.4,25.7,18.1,8.5,8.9,19.1,41554.45,45669.07
2023-09-01,21.5,25.8,17.1,1.8,7.5,19.4,42574.66,45583.28
2023-09-02,21.7,24.8,18.3,4.0,11.3,27.4,42508.37,45497.02
2023-09-03,22.3,25.7,19.1,1.8,12.7,31.7,40019.68,45410.32
2023-09-04,22.6,27.7,18.6,0.5,13.7,37.4,42388.43,45323.27
2023-09-05,23.4,26.6,18.3,0.9,12.0,29.5,42325.34,45235.92
2023-09-06,22.2,26.0,18.6,3.7,15.1,38.2,42261.88,45148.32
2023-09-07,21.7,25.4,19.3,6.4,13.0,34.6,39375.42,45060.52
2023-09-08,20.9,24.0,19.0,2.9,10.0,25.9,10082.99,44972.6
2023-09-09,21.2,24.4,18.9,18.7,9.0,20.5,29575.63,44884.6
2023-09-10,21.6,25.1,19.5,5.0,7.2,20.5,36974.72,44796.57
2023-09-11,21.5,24.6,19.2,12.5,8.7,23.0,39481.36,44708.58
2023-09-12,20.9,24.2,18.7,15.4,7.9,21.6,13885.58,44620.67
2023-09-13,21.1,25.2,17.8,1.5,9.8,27.0,17624.07,44532.9
2023-09-14,21.4,25.1,18.7,3.4,10.9,28.8,41162.93,44445.33
2023-09-15,21.7,26.1,18.4,0.7,8.9,20.9,38041.11,44357.96
2023-09-16,21.2,24.9,17.4,1.9,7.2,22.7,41598.38,44270.28
2023-09-17,22.1,25.7,18.4,1.7,7.8,23.4,41510.74,44182.09
2023-09-18,21.5,24.9,18.2,4.5,13.7,33.8,38327.43,44093.47
2023-09-19,20.5,24.1,18.7,9.3,10.2,25.9,19857.4,44004.47
2023-09-20,20.4,23.5,18.7,18.9,10.4,25.9,23332.82,43915.14
2023-09-21,20.5,23.3,19.2,14.2,11.7,28.8,20530.78,43825.56
2023-09-22,20.3,23.7,18.8,3.5,12.8,29.5,20186.65,43735.76
2023-09-23,20.4,23.2,18.1,1.1,12.1,31.7,27700.21,43645.82
2023-09-24,20.6,24.9,17.9,1.6,8.9,23.8,36276.48,43555.78
2023-09-25,20.5,24.4,17.3,1.3,9.8,24.5,39027.62,43465.7
2023-09-26,20.1,23.9,16.7,7.3,7.6,20.2,37045.76,43375.65
2023-09-27,20.3,24.4,16.5,7.3,7.7,21.2,34459.72,43285.66
2023-09-28,21.4,25.9,17.3,1.9,9.1,24.8,39407.98,43195.82
2023-09-29,21.9,26.1,18.6,6.4,13.7,33.5,39478.26,43106.16
2023-09-30,21.0,24.2,19.1,14.7,14.0,34.9,22155.5,43016.75
2023-10-01,20.6,23.9,18.1,14.3,9.4,24.8,32711.39,42927.63
2023-10-02,21.0,25.2,18.4,7.3,9.0,24.8,36000.0,42838.88
2023-10-03,20.8,24.2,18.9,7.1,10.4,29.2,33008.38,42750.54
2023-10-04,20.4,23.2,18.9,8.7,9.5,27.0,20060.96,42662.68
2023-10-05,18.9,19.7,18.4,24.9,13.7,32.8,0.0,42575.32
2023-10-06,18.5,19.0,18.2,56.8,37.6,74.5,0.0,42487.88
2023-10-07,19.4,21.8,17.8,29.8,10.8,27.0,19050.29,42400.16
2023-10-08,19.9,22.6,17.8,2.1,10.6,27.7,37898.7,42312.23
2023-10-09,20.0,24.0,17.2,2.3,11.3,27.7,37797.32,42224.17
2023-10-10,19.1,23.0,14.5,0.7,7.9,19.8,37326.35,42136.03
2023-10-11,19.2,23.2,15.8,1.3,9.7,22.7,38941.17,42047.88
2023-10-12,18.6,23.3,14.7,1.0,8.4,18.4,38911.37,41959.78
2023-10-13,18.3,22.8,13.8,1.1,6.3,17.6,38881.15,41871.8
2023-10-14,17.7,21.5,13.5,2.9,7.6,19.8,38850.52,41784.0
2023-10-15,17.3,21.8,13.2,1.0,6.8,20.2,38819.47,41696.46
2023-10-16,17.9,22.9,13.6,0.3,9.5,21.6,38787.97,41609.23
2023-10-17,17.4,22.9,11.8,0.0,9.5,19.4,38756.02,41522.39
2023-10-18,17.8,21.4,13.2,1.7,8.3,22.0,38718.62,41436.01
2023-10-19,16.8,20.8,13.0,1.8,6.6,21.6,38629.09,41350.16
2023-10-20,18.1,21.3,12.8,1.0,7.5,18.0,38540.05,41264.91
2023-10-21,17.6,22.9,12.1,0.0,9.0,23.0,38451.62,41180.32
2023-10-22,18.1,22.6,13.1,0.7,7.6,16.9,38363.84,41096.48
2023-10-23,18.1,22.2,15.4,4.0,11.7,27.4,38076.89,41013.46
2023-10-24,17.3,19.3,15.3,3.9,6.5,16.9,527.15,40931.33
2023-10-25,17.8,21.1,13.4,1.3,9.4,22.7,38105.19,40850.13
2023-10-26,16.3,20.6,12.6,4.0,6.7,22.3,35643.62,40769.23
2023-10-27,16.0,19.6,12.1,1.0,6.9,19.8,37934.55,40688.41
2023-10-28,16.5,20.8,11.2,0.3,10.5,24.8,37849.28,40607.77
2023-10-29,16.2,21.7,11.8,0.0,11.2,27.4,37764.14,40527.35
2023-10-30,16.8,22.0,13.0,0.0,11.0,27.0,37679.22,40447.26
2023-10-31,17.6,23.3,12.8,0.0,7.5,18.7,37594.61,40367.57
2023-11-01,18.2,23.3,13.3,0.2,9.3,18.7,37510.39,40288.34
2023-11-02,17.3,22.7,13.0,0.4,6.3,20.2,37426.64,40209.67
2023-11-03,16.5,21.9,12.1,0.0,4.4,17.6,37343.46,40131.64
2023-11-04,15.6,21.0,11.3,0.0,11.7,29.2,35272.43,40054.32
2023-11-05,15.3,20.6,11.1,1.8,8.3,21.2,37179.18,39977.8
2023-11-06,15.7,21.6,10.7,0.1,6.6,18.4,37098.26,39902.16
2023-11-07,15.3,20.8,10.0,0.1,7.6,21.6,37018.27,39827.5
2023-11-08,14.4,20.1,10.1,0.2,8.3,20.5,36939.34,39753.9
2023-11-09,14.8,19.7,9.4,0.9,9.1,20.9,35735.38,39681.44
2023-11-10,15.0,20.6,10.0,0.0,7.1,20.2,36784.98,39610.22
2023-11-11,15.4,21.2,10.4,0.0,8.3,21.6,35317.4,39540.33
2023-11-12,16.0,20.9,11.2,0.0,10.3,22.0,36636.02,39471.86
2023-11-13,15.5,20.7,10.7,0.0,8.9,23.0,36563.82,39404.91
2023-11-14,15.7,22.0,10.5,0.0,7.7,22.3,36493.25,39339.54
2023-11-15,16.4,22.5,11.7,0.1,7.8,19.1,35847.32,39275.12
2023-11-16,17.2,21.2,13.8,2.6,9.8,24.8,23376.83,39211.46
