time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,25.7,28.0,23.8,2.4,24.8,53.6,34441.41,45145.14
2023-07-24,25.3,28.0,23.3,2.8,17.5,40.3,7797.52,45127.54
2023-07-25,25.5,28.8,23.6,7.5,19.5,45.0,30990.29,45109.51
2023-07-26,25.7,28.6,23.5,0.7,18.8,47.5,34893.65,45091.06
2023-07-27,26.1,29.4,23.4,0.4,21.6,44.6,39141.43,45072.21
2023-07-28,26.7,30.0,24.1,0.1,25.4,53.3,42485.27,45053.0
2023-07-29,27.0,30.2,24.7,0.0,26.6,55.1,42469.07,45033.43
2023-07-30,26.7,29.8,24.6,0.0,25.1,52.9,42452.55,45013.53
2023-07-31,26.5,29.3,24.3,0.5,25.8,54.0,38993.29,44993.32
2023-08-01,26.6,29.6,24.2,0.5,25.5,54.0,39766.81,44972.82
2023-08-02,26.7,29.8,24.4,0.0,22.6,48.2,41187.14,44952.06
2023-08-03,26.7,30.0,24.3,0.8,26.5,54.4,39539.18,44931.04
2023-08-04,26.7,29.6,24.6,2.2,23.5,51.1,42365.71,44909.8
2023-08-05,27.6,31.9,24.5,0.1,26.9,56.2,42206.27,44888.34
2023-08-06,27.2,31.0,24.6,0.1,24.6,52.6,41910.45,44866.7
2023-08-07,27.1,30.1,25.0,0.2,22.6,47.9,42310.5,44844.68
2023-08-08,27.0,30.3,24.3,0.9,23.1,51.1,41182.35,44822.27
2023-08-09,27.0,30.3,24.2,0.4,21.0,45.7,40825.58,44799.48
2023-08-10,26.9,30.0,24.5,0.6,20.9,44.3,37197.07,44776.33
2023-08-11,27.1,30.7,24.8,1.6,20.2,43.2,40889.43,44752.85
2023-08-12,26.5,29.7,23.9,3.3,22.5,46.4,37205.69,44729.06
2023-08-13,26.9,29.9,24.3,1.1,22.5,48.2,42190.59,44704.99
2023-08-14,26.4,29.2,24.0,1.3,19.8,44.3,42169.52,44680.66
2023-08-15,26.5,30.1,23.2,0.1,20.0,44.3,41304.22,44656.08
2023-08-16,26.3,30.6,22.5,0.0,19.4,42.8,42126.61,44631.28
2023-08-17,26.4,30.1,23.1,2.0,19.5,43.9,42104.78,44606.29
