time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,daylight_duration
2023-07-23,27.8,31.5,24.4,19.9,16.4,33.8,39600.0,46868.66
2023-07-24,27.0,31.7,24.7,72.8,14.5,34.6,34390.31,46831.7
2023-07-25,26.5,29.5,24.3,71.1,13.3,28.8,30060.81,46793.81
2023-07-26,26.9,31.4,25.0,52.7,19.7,36.0,19601.38,46755.05
2023-07-27,27.8,30.7,25.0,0.6,33.1,61.2,40976.61,46715.46
2023-07-28,29.6,34.0,25.9,0.2,27.9,53.6,41363.46,46675.09
2023-07-29,29.9,34.0,26.4,2.7,18.9,34.6,32580.24,46633.98
2023-07-30,29.8,33.1,26.4,3.5,14.0,29.2,25911.39,46592.17
2023-07-31,28.3,31.4,26.3,6.0,16.2,31.7,7767.7,46549.71
2023-08-01,28.0,31.1,25.8,6.5,19.0,33.1,8515.57,46506.64
2023-08-02,28.5,31.3,26.1,1.6,23.4,43.6,4411.15,46463.01
2023-08-03,29.9,34.0,27.4,0.0,22.9,47.2,28149.16,46418.85
2023-08-04,29.1,32.7,26.6,0.8,23.1,46.8,40171.9,46374.2
2023-08-05,29.8,33.9,26.7,0.0,22.6,41.4,38926.33,46329.12
2023-08-06,29.6,32.7,27.2,2.4,23.8,45.7,40238.18,46283.6
2023-08-07,29.9,33.8,27.4,0.2,20.2,39.6,31314.99,46237.33
2023-08-08,29.4,32.8,26.2,1.1,22.7,42.8,39600.0,46190.21
2023-08-09,29.6,33.5,26.1,2.7,17.6,34.6,36886.41,46142.3
2023-08-10,29.0,34.2,25.5,0.5,20.2,40.0,40971.89,46093.63
2023-08-11,29.7,33.9,26.2,3.0,12.2,27.0,40738.2,46044.26
2023-08-12,30.0,34.9,26.6,0.1,16.1,32.0,36208.0,45994.23
2023-08-13,30.1,34.8,26.8,0.4,17.1,33.8,32387.3,45943.6
2023-08-14,29.3,32.3,26.8,0.7,13.2,28.4,34811.14,45892.41
2023-08-15,29.6,33.3,26.2,0.7,17.7,34.9,39600.0,45840.71
